,prot__A,prot__C,prot__D,prot__E,prot__F,prot__G,prot__H,prot__I,prot__J,prot__K,prot__L,prot__M,prot__N,prot__O,day__Fri,day__Mon,day__Sat,day__Sun,day__Thu,day__Tue,day__Wed,compounds,inpufields,iterations,nunpending,hour,Class
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,997,137,20,0,14.0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,97,103,20,0,13.816667,1
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,101,75,10,0,13.85,1
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93,76,20,0,10.1,1
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,82,20,0,10.366667,1
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,82,20,0,16.533333,1
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,105,88,20,0,16.4,1
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,98,95,20,0,16.733333,1
8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,101,91,20,0,16.183333,1
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,92,20,0,10.783333,1
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,102,96,20,0,9.966667,1
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,108,104,10,0,11.483333,1
12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,98,99,10,0,10.433333,1
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,102,99,20,0,16.75,1
14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,108,99,20,0,16.366667,1
15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,128,111,20,0,16.483333,1
16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,121,118,20,0,16.766667,1
17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,132,2320,11,0,15.133333,1
18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,141,139,20,0,16.266667,1
19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,147,137,20,0,18.716667,1
