,scorer,Test_size,abs_error,quantifier,dataset,actual_c.1,actual_c.2,actual_c.3,pred_c.1,pred_c.2,pred_c.3
0,RandomForestClassifier,50,0.05,DySyn,concrete,0.0,0.9861123038660123,0.013887696133987682,0.01,0.961,0.029
0,RandomForestClassifier,50,0.012,DyS,concrete,0.0,0.9861123038660123,0.013887696133987682,0.0,0.98,0.02
0,RandomForestClassifier,50,0.052,DySyn+aMoSS,concrete,0.0,0.9861123038660123,0.013887696133987682,0.01,0.96,0.03
0,RandomForestClassifier,50,1.305,SCH_AC,concrete,0.0,0.9861123038660123,0.013887696133987682,0.333,0.333,0.333
0,RandomForestClassifier,50,0.026,SCH_GPAC,concrete,0.0,0.9861123038660123,0.013887696133987682,0.013,0.984,0.003
0,RandomForestClassifier,50,0.35,SCH_DyS,concrete,0.0,0.9861123038660123,0.013887696133987682,0.175,0.824,0.001
0,RandomForestClassifier,50,0.452,SCH_CC,concrete,0.0,0.9861123038660123,0.013887696133987682,0.0,0.76,0.24
0,RandomForestClassifier,50,0.834,SCH_MS,concrete,0.0,0.9861123038660123,0.013887696133987682,0.407,0.569,0.024
0,RandomForestClassifier,50,0.012,SCH_EM,concrete,0.0,0.9861123038660123,0.013887696133987682,0.0,0.98,0.02
0,RandomForestClassifier,50,0.182,DySyn,concrete,0.0,0.17300487819673693,0.8269951218032631,0.009,0.255,0.736
0,RandomForestClassifier,50,0.094,DyS,concrete,0.0,0.17300487819673693,0.8269951218032631,0.0,0.22,0.78
0,RandomForestClassifier,50,0.11,DySyn+aMoSS,concrete,0.0,0.17300487819673693,0.8269951218032631,0.01,0.218,0.772
0,RandomForestClassifier,50,0.346,SCH_AC,concrete,0.0,0.17300487819673693,0.8269951218032631,0.0,0.0,1.0
0,RandomForestClassifier,50,0.116,SCH_GPAC,concrete,0.0,0.17300487819673693,0.8269951218032631,0.0,0.231,0.769
0,RandomForestClassifier,50,0.345,SCH_DyS,concrete,0.0,0.17300487819673693,0.8269951218032631,0.0,0.0,0.999
0,RandomForestClassifier,50,0.454,SCH_CC,concrete,0.0,0.17300487819673693,0.8269951218032631,0.0,0.4,0.6
0,RandomForestClassifier,50,0.762,SCH_MS,concrete,0.0,0.17300487819673693,0.8269951218032631,0.0,0.554,0.446
0,RandomForestClassifier,50,0.11,SCH_EM,concrete,0.0,0.17300487819673693,0.8269951218032631,0.0,0.228,0.772
0,RandomForestClassifier,50,0.069,DySyn,concrete,0.0,0.034716104058212634,0.9652838959417873,0.01,0.059,0.931
0,RandomForestClassifier,50,0.031,DyS,concrete,0.0,0.034716104058212634,0.9652838959417873,0.0,0.05,0.95
0,RandomForestClassifier,50,0.05,DySyn+aMoSS,concrete,0.0,0.034716104058212634,0.9652838959417873,0.01,0.05,0.941
0,RandomForestClassifier,50,0.069,SCH_AC,concrete,0.0,0.034716104058212634,0.9652838959417873,0.0,0.0,1.0
0,RandomForestClassifier,50,0.023,SCH_GPAC,concrete,0.0,0.034716104058212634,0.9652838959417873,-0.0,0.023,0.977
0,RandomForestClassifier,50,0.065,SCH_DyS,concrete,0.0,0.034716104058212634,0.9652838959417873,0.0,0.002,0.998
0,RandomForestClassifier,50,0.931,SCH_CC,concrete,0.0,0.034716104058212634,0.9652838959417873,0.0,0.5,0.5
0,RandomForestClassifier,50,0.949,SCH_MS,concrete,0.0,0.034716104058212634,0.9652838959417873,0.0,0.509,0.491
0,RandomForestClassifier,50,0.023,SCH_EM,concrete,0.0,0.034716104058212634,0.9652838959417873,0.0,0.023,0.977
0,RandomForestClassifier,50,0.125,DySyn,concrete,0.0,0.3288385814251165,0.6711614185748835,0.01,0.267,0.724
0,RandomForestClassifier,50,0.226,DyS,concrete,0.0,0.3288385814251165,0.6711614185748835,0.0,0.216,0.784
0,RandomForestClassifier,50,0.199,DySyn+aMoSS,concrete,0.0,0.3288385814251165,0.6711614185748835,0.01,0.229,0.76
