,scorer,Test_size,abs_error,quantifier,dataset,actual_c.1,actual_c.2,actual_c.3,pred_c.1,pred_c.2,pred_c.3
0,SVC,50,0.792,DySyn,concrete,0.0,0.22298321697192994,0.7770167830280701,0.315,0.304,0.381
0,SVC,50,0.938,DyS,concrete,0.0,0.22298321697192994,0.7770167830280701,0.346,0.346,0.308
0,SVC,50,1.554,DySyn+aMoSS,concrete,0.0,0.22298321697192994,0.7770167830280701,0.503,0.497,0.0
0,SVC,50,0.756,SCH_AC,concrete,0.0,0.22298321697192994,0.7770167830280701,0.0,0.601,0.399
0,SVC,50,0.056,SCH_GPAC,concrete,0.0,0.22298321697192994,0.7770167830280701,0.006,0.195,0.799
0,SVC,50,0.446,SCH_DyS,concrete,0.0,0.22298321697192994,0.7770167830280701,0.0,0.0,1.0
0,SVC,50,0.114,SCH_CC,concrete,0.0,0.22298321697192994,0.7770167830280701,0.0,0.28,0.72
0,SVC,50,0.572,SCH_MS,concrete,0.0,0.22298321697192994,0.7770167830280701,0.0,0.509,0.491
0,SVC,50,0.05,SCH_EM,concrete,0.0,0.22298321697192994,0.7770167830280701,0.0,0.198,0.802
0,SVC,50,0.961,DySyn,concrete,0.0,0.6186000686957706,0.3813999313042294,0.48,0.48,0.039
0,SVC,50,0.905,DyS,concrete,0.0,0.6186000686957706,0.3813999313042294,0.452,0.452,0.095
0,SVC,50,0.921,DySyn+aMoSS,concrete,0.0,0.6186000686957706,0.3813999313042294,0.46,0.451,0.088
0,SVC,50,0.447,SCH_AC,concrete,0.0,0.6186000686957706,0.3813999313042294,0.0,0.842,0.158
0,SVC,50,0.083,SCH_GPAC,concrete,0.0,0.6186000686957706,0.3813999313042294,0.042,0.584,0.375
0,SVC,50,0.491,SCH_DyS,concrete,0.0,0.6186000686957706,0.3813999313042294,0.0,0.373,0.627
0,SVC,50,0.003,SCH_CC,concrete,0.0,0.6186000686957706,0.3813999313042294,0.0,0.62,0.38
0,SVC,50,0.135,SCH_MS,concrete,0.0,0.6186000686957706,0.3813999313042294,0.002,0.684,0.314
0,SVC,50,0.003,SCH_EM,concrete,0.0,0.6186000686957706,0.3813999313042294,0.0,0.62,0.38
0,SVC,50,0.676,DySyn,concrete,0.0,0.5244989210204046,0.4755010789795953,0.338,0.358,0.304
0,SVC,50,0.816,DyS,concrete,0.0,0.5244989210204046,0.4755010789795953,0.408,0.408,0.184
0,SVC,50,0.908,DySyn+aMoSS,concrete,0.0,0.5244989210204046,0.4755010789795953,0.454,0.44,0.106
0,SVC,50,0.573,SCH_AC,concrete,0.0,0.5244989210204046,0.4755010789795953,0.0,0.811,0.189
0,SVC,50,0.103,SCH_GPAC,concrete,0.0,0.5244989210204046,0.4755010789795953,0.0,0.576,0.424
0,SVC,50,0.097,SCH_DyS,concrete,0.0,0.5244989210204046,0.4755010789795953,0.0,0.476,0.524
0,SVC,50,0.049,SCH_CC,concrete,0.0,0.5244989210204046,0.4755010789795953,0.0,0.5,0.5
0,SVC,50,0.183,SCH_MS,concrete,0.0,0.5244989210204046,0.4755010789795953,0.0,0.616,0.384
0,SVC,50,0.111,SCH_EM,concrete,0.0,0.5244989210204046,0.4755010789795953,0.0,0.58,0.42
0,SVC,50,0.594,DySyn,concrete,0.0,0.42352652552954967,0.5764734744704504,0.297,0.286,0.417
0,SVC,50,0.797,DyS,concrete,0.0,0.42352652552954967,0.5764734744704504,0.398,0.398,0.203
0,SVC,50,1.153,DySyn+aMoSS,concrete,0.0,0.42352652552954967,0.5764734744704504,0.503,0.497,0.0
0,SVC,50,0.639,SCH_AC,concrete,0.0,0.42352652552954967,0.5764734744704504,0.0,0.743,0.257
0,SVC,50,0.012,SCH_GPAC,concrete,0.0,0.42352652552954967,0.5764734744704504,0.006,0.423,0.571
0,SVC,50,0.845,SCH_DyS,concrete,0.0,0.42352652552954967,0.5764734744704504,0.0,0.001,0.999
0,SVC,50,0.313,SCH_CC,concrete,0.0,0.42352652552954967,0.5764734744704504,0.0,0.58,0.42
0,SVC,50,0.335,SCH_MS,concrete,0.0,0.42352652552954967,0.5764734744704504,0.0,0.591,0.409
0,SVC,50,0.009,SCH_EM,concrete,0.0,0.42352652552954967,0.5764734744704504,0.0,0.428,0.572
0,SVC,50,0.68,DySyn,concrete,0.0,0.5498524086985291,0.4501475913014708,0.34,0.346,0.314
0,SVC,50,0.823,DyS,concrete,0.0,0.5498524086985291,0.4501475913014708,0.412,0.412,0.177
0,SVC,50,0.876,DySyn+aMoSS,concrete,0.0,0.5498524086985291,0.4501475913014708,0.438,0.434,0.128
0,SVC,50,0.464,SCH_AC,concrete,0.0,0.5498524086985291,0.4501475913014708,0.0,0.782,0.218
0,SVC,50,0.036,SCH_GPAC,concrete,0.0,0.5498524086985291,0.4501475913014708,0.0,0.568,0.432
0,SVC,50,1.099,SCH_DyS,concrete,0.0,0.5498524086985291,0.4501475913014708,0.0,0.0,0.999
0,SVC,50,0.06,SCH_CC,concrete,0.0,0.5498524086985291,0.4501475913014708,0.0,0.52,0.48
0,SVC,50,0.188,SCH_MS,concrete,0.0,0.5498524086985291,0.4501475913014708,0.0,0.644,0.356
0,SVC,50,0.022,SCH_EM,concrete,0.0,0.5498524086985291,0.4501475913014708,0.0,0.561,0.439
0,SVC,50,0.772,DySyn,concrete,0.0,0.5286925939462422,0.4713074060537578,0.386,0.386,0.228
0,SVC,50,0.837,DyS,concrete,0.0,0.5286925939462422,0.4713074060537578,0.418,0.418,0.163
0,SVC,50,0.867,DySyn+aMoSS,concrete,0.0,0.5286925939462422,0.4713074060537578,0.434,0.394,0.173
0,SVC,50,0.659,SCH_AC,concrete,0.0,0.5286925939462422,0.4713074060537578,0.0,0.858,0.142
0,SVC,50,0.319,SCH_GPAC,concrete,0.0,0.5286925939462422,0.4713074060537578,0.007,0.681,0.312
0,SVC,50,0.381,SCH_DyS,concrete,0.0,0.5286925939462422,0.4713074060537578,0.0,0.338,0.662
0,SVC,50,0.103,SCH_CC,concrete,0.0,0.5286925939462422,0.4713074060537578,0.0,0.58,0.42
0,SVC,50,0.316,SCH_MS,concrete,0.0,0.5286925939462422,0.4713074060537578,0.05,0.637,0.314
0,SVC,50,0.309,SCH_EM,concrete,0.0,0.5286925939462422,0.4713074060537578,0.0,0.683,0.317
0,SVC,50,0.638,DySyn,concrete,0.0,0.512914841771077,0.48708515822892307,0.319,0.306,0.375
0,SVC,50,0.84,DyS,concrete,0.0,0.512914841771077,0.48708515822892307,0.42,0.42,0.16
