,scorer,Test_size,abs_error,quantifier,dataset,actual_c.1,actual_c.2,actual_c.3,pred_c.1,pred_c.2,pred_c.3
0,SVC,50,0.168,DySyn,drugs,0.0,0.4825848952220902,0.5174151047779098,0.041,0.399,0.561
0,SVC,50,0.141,DyS,drugs,0.0,0.4825848952220902,0.5174151047779098,0.0,0.412,0.588
0,SVC,50,0.001,DySyn+aMoSS,drugs,0.0,0.4825848952220902,0.5174151047779098,0.0,0.483,0.517
0,SVC,50,0.003,SCH_AC,drugs,0.0,0.4825848952220902,0.5174151047779098,0.0,0.481,0.519
0,SVC,50,0.061,SCH_GPAC,drugs,0.0,0.4825848952220902,0.5174151047779098,0.0,0.452,0.548
0,SVC,50,0.227,SCH_DyS,drugs,0.0,0.4825848952220902,0.5174151047779098,0.0,0.596,0.404
0,SVC,50,0.36,SCH_CC,drugs,0.0,0.4825848952220902,0.5174151047779098,0.18,0.34,0.48
0,SVC,50,0.057,SCH_MS,drugs,0.0,0.4825848952220902,0.5174151047779098,0.0,0.454,0.546
0,SVC,50,0.025,SCH_EM,drugs,0.0,0.4825848952220902,0.5174151047779098,0.0,0.47,0.53
0,SVC,50,0.971,DySyn,drugs,0.0,0.7155299843640484,0.28447001563595165,0.241,0.23,0.529
0,SVC,50,0.279,DyS,drugs,0.0,0.7155299843640484,0.28447001563595165,0.0,0.855,0.145
0,SVC,50,0.407,DySyn+aMoSS,drugs,0.0,0.7155299843640484,0.28447001563595165,0.0,0.512,0.488
0,SVC,50,0.057,SCH_AC,drugs,0.0,0.7155299843640484,0.28447001563595165,0.0,0.744,0.256
0,SVC,50,0.093,SCH_GPAC,drugs,0.0,0.7155299843640484,0.28447001563595165,0.0,0.762,0.238
0,SVC,50,0.059,SCH_DyS,drugs,0.0,0.7155299843640484,0.28447001563595165,0.0,0.686,0.314
0,SVC,50,0.311,SCH_CC,drugs,0.0,0.7155299843640484,0.28447001563595165,0.14,0.56,0.3
0,SVC,50,0.079,SCH_MS,drugs,0.0,0.7155299843640484,0.28447001563595165,0.0,0.676,0.324
0,SVC,50,0.027,SCH_EM,drugs,0.0,0.7155299843640484,0.28447001563595165,0.0,0.729,0.271
0,SVC,50,0.242,DySyn,drugs,0.0,0.629820044713397,0.3701799552866029,0.019,0.509,0.472
0,SVC,50,0.592,DyS,drugs,0.0,0.629820044713397,0.3701799552866029,0.0,0.926,0.074
0,SVC,50,0.134,DySyn+aMoSS,drugs,0.0,0.629820044713397,0.3701799552866029,0.0,0.563,0.437
0,SVC,50,0.611,SCH_AC,drugs,0.0,0.629820044713397,0.3701799552866029,0.16,0.776,0.065
0,SVC,50,0.589,SCH_GPAC,drugs,0.0,0.629820044713397,0.3701799552866029,0.068,0.856,0.075
0,SVC,50,0.328,SCH_DyS,drugs,0.0,0.629820044713397,0.3701799552866029,0.164,0.616,0.22
0,SVC,50,0.6,SCH_CC,drugs,0.0,0.629820044713397,0.3701799552866029,0.3,0.44,0.26
0,SVC,50,0.286,SCH_MS,drugs,0.0,0.629820044713397,0.3701799552866029,0.106,0.667,0.227
0,SVC,50,0.47,SCH_EM,drugs,0.0,0.629820044713397,0.3701799552866029,0.062,0.803,0.135
0,SVC,50,0.688,DySyn,drugs,0.0,0.48009455344367075,0.5199054465563293,0.135,0.689,0.176
0,SVC,50,0.348,DyS,drugs,0.0,0.48009455344367075,0.5199054465563293,0.174,0.333,0.493
0,SVC,50,0.088,DySyn+aMoSS,drugs,0.0,0.48009455344367075,0.5199054465563293,0.0,0.524,0.476
0,SVC,50,0.14,SCH_AC,drugs,0.0,0.48009455344367075,0.5199054465563293,0.067,0.41,0.523
0,SVC,50,0.044,SCH_GPAC,drugs,0.0,0.48009455344367075,0.5199054465563293,0.022,0.472,0.506
0,SVC,50,0.158,SCH_DyS,drugs,0.0,0.48009455344367075,0.5199054465563293,0.0,0.559,0.441
0,SVC,50,0.48,SCH_CC,drugs,0.0,0.48009455344367075,0.5199054465563293,0.24,0.36,0.4
0,SVC,50,0.038,SCH_MS,drugs,0.0,0.48009455344367075,0.5199054465563293,0.019,0.469,0.512
0,SVC,50,0.012,SCH_EM,drugs,0.0,0.48009455344367075,0.5199054465563293,0.0,0.486,0.514
0,SVC,50,0.618,DySyn,drugs,0.0,0.8250974023488917,0.1749025976511083,0.309,0.533,0.158
0,SVC,50,0.746,DyS,drugs,0.0,0.8250974023488917,0.1749025976511083,0.373,0.559,0.068
0,SVC,50,0.634,DySyn+aMoSS,drugs,0.0,0.8250974023488917,0.1749025976511083,0.0,0.508,0.492
0,SVC,50,0.404,SCH_AC,drugs,0.0,0.8250974023488917,0.1749025976511083,0.202,0.669,0.129
0,SVC,50,0.182,SCH_GPAC,drugs,0.0,0.8250974023488917,0.1749025976511083,0.09,0.826,0.084
0,SVC,50,0.334,SCH_DyS,drugs,0.0,0.8250974023488917,0.1749025976511083,0.0,0.992,0.008
0,SVC,50,0.73,SCH_CC,drugs,0.0,0.8250974023488917,0.1749025976511083,0.36,0.46,0.18
0,SVC,50,0.332,SCH_MS,drugs,0.0,0.8250974023488917,0.1749025976511083,0.155,0.659,0.186
0,SVC,50,0.1,SCH_EM,drugs,0.0,0.8250974023488917,0.1749025976511083,0.016,0.859,0.125
0,SVC,50,1.008,DySyn,drugs,0.0,0.25113153395170107,0.7488684660482989,0.504,0.057,0.439
0,SVC,50,0.024,DyS,drugs,0.0,0.25113153395170107,0.7488684660482989,0.0,0.239,0.761
0,SVC,50,0.536,DySyn+aMoSS,drugs,0.0,0.25113153395170107,0.7488684660482989,0.0,0.519,0.481
0,SVC,50,0.148,SCH_AC,drugs,0.0,0.25113153395170107,0.7488684660482989,0.0,0.325,0.675
0,SVC,50,0.288,SCH_GPAC,drugs,0.0,0.25113153395170107,0.7488684660482989,0.0,0.395,0.605
0,SVC,50,0.232,SCH_DyS,drugs,0.0,0.25113153395170107,0.7488684660482989,0.0,0.367,0.633
0,SVC,50,0.338,SCH_CC,drugs,0.0,0.25113153395170107,0.7488684660482989,0.12,0.3,0.58
0,SVC,50,0.214,SCH_MS,drugs,0.0,0.25113153395170107,0.7488684660482989,0.0,0.358,0.642
0,SVC,50,0.266,SCH_EM,drugs,0.0,0.25113153395170107,0.7488684660482989,0.0,0.384,0.616
