,scorer,Test_size,abs_error,quantifier,dataset,actual_c.1,actual_c.2,actual_c.3,pred_c.1,pred_c.2,pred_c.3
0,XGBClassifier,50,0.163,DySyn,drugs,0.0,0.20457927570181117,0.7954207242981889,0.081,0.151,0.767
0,XGBClassifier,50,0.215,DyS,drugs,0.0,0.20457927570181117,0.7954207242981889,0.0,0.097,0.903
0,XGBClassifier,50,1.085,DySyn+aMoSS,drugs,0.0,0.20457927570181117,0.7954207242981889,0.3,0.447,0.253
0,XGBClassifier,50,0.103,SCH_AC,drugs,0.0,0.20457927570181117,0.7954207242981889,0.0,0.153,0.847
0,XGBClassifier,50,0.027,SCH_GPAC,drugs,0.0,0.20457927570181117,0.7954207242981889,0.0,0.191,0.809
0,XGBClassifier,50,0.409,SCH_DyS,drugs,0.0,0.20457927570181117,0.7954207242981889,0.0,0.0,1.0
0,XGBClassifier,50,0.28,SCH_CC,drugs,0.0,0.20457927570181117,0.7954207242981889,0.14,0.18,0.68
0,XGBClassifier,50,0.005,SCH_MS,drugs,0.0,0.20457927570181117,0.7954207242981889,0.0,0.202,0.798
0,XGBClassifier,50,0.088,SCH_EM,drugs,0.0,0.20457927570181117,0.7954207242981889,0.023,0.226,0.752
0,XGBClassifier,50,0.128,DySyn,drugs,0.0,0.006186085248953024,0.993813914751047,0.023,0.047,0.93
0,XGBClassifier,50,0.012,DyS,drugs,0.0,0.006186085248953024,0.993813914751047,0.0,0.0,1.0
0,XGBClassifier,50,1.752,DySyn+aMoSS,drugs,0.0,0.006186085248953024,0.993813914751047,0.45,0.432,0.118
0,XGBClassifier,50,0.064,SCH_AC,drugs,0.0,0.006186085248953024,0.993813914751047,0.0,0.038,0.962
0,XGBClassifier,50,0.012,SCH_GPAC,drugs,0.0,0.006186085248953024,0.993813914751047,0.0,0.0,1.0
0,XGBClassifier,50,0.012,SCH_DyS,drugs,0.0,0.006186085248953024,0.993813914751047,0.0,0.0,1.0
0,XGBClassifier,50,0.388,SCH_CC,drugs,0.0,0.006186085248953024,0.993813914751047,0.06,0.14,0.8
0,XGBClassifier,50,0.098,SCH_MS,drugs,0.0,0.006186085248953024,0.993813914751047,0.0,0.055,0.945
0,XGBClassifier,50,0.098,SCH_EM,drugs,0.0,0.006186085248953024,0.993813914751047,0.0,0.055,0.945
0,XGBClassifier,50,0.625,DySyn,drugs,0.0,0.8892989659589073,0.11070103404109269,0.124,0.577,0.299
0,XGBClassifier,50,0.257,DyS,drugs,0.0,0.8892989659589073,0.11070103404109269,0.0,0.761,0.239
0,XGBClassifier,50,1.229,DySyn+aMoSS,drugs,0.0,0.8892989659589073,0.11070103404109269,0.335,0.275,0.39
0,XGBClassifier,50,0.249,SCH_AC,drugs,0.0,0.8892989659589073,0.11070103404109269,0.047,0.765,0.188
0,XGBClassifier,50,0.029,SCH_GPAC,drugs,0.0,0.8892989659589073,0.11070103404109269,0.0,0.875,0.125
0,XGBClassifier,50,0.167,SCH_DyS,drugs,0.0,0.8892989659589073,0.11070103404109269,0.0,0.806,0.194
0,XGBClassifier,50,0.779,SCH_CC,drugs,0.0,0.8892989659589073,0.11070103404109269,0.18,0.5,0.32
0,XGBClassifier,50,0.213,SCH_MS,drugs,0.0,0.8892989659589073,0.11070103404109269,0.0,0.783,0.217
0,XGBClassifier,50,0.083,SCH_EM,drugs,0.0,0.8892989659589073,0.11070103404109269,0.0,0.848,0.152
0,XGBClassifier,50,0.778,DySyn,drugs,0.0,0.812789942527982,0.187210057472018,0.182,0.424,0.394
0,XGBClassifier,50,0.292,DyS,drugs,0.0,0.812789942527982,0.187210057472018,0.0,0.667,0.333
0,XGBClassifier,50,1.006,DySyn+aMoSS,drugs,0.0,0.812789942527982,0.187210057472018,0.286,0.31,0.404
0,XGBClassifier,50,0.632,SCH_AC,drugs,0.0,0.812789942527982,0.187210057472018,0.142,0.497,0.361
0,XGBClassifier,50,0.492,SCH_GPAC,drugs,0.0,0.812789942527982,0.187210057472018,0.099,0.567,0.334
0,XGBClassifier,50,0.314,SCH_DyS,drugs,0.0,0.812789942527982,0.187210057472018,0.0,0.97,0.03
0,XGBClassifier,50,0.906,SCH_CC,drugs,0.0,0.812789942527982,0.187210057472018,0.26,0.36,0.38
0,XGBClassifier,50,0.636,SCH_MS,drugs,0.0,0.812789942527982,0.187210057472018,0.045,0.495,0.46
0,XGBClassifier,50,0.41,SCH_EM,drugs,0.0,0.812789942527982,0.187210057472018,0.0,0.608,0.392
0,XGBClassifier,50,0.268,DySyn,drugs,0.0,0.42560601554079697,0.5743939844592031,0.134,0.329,0.537
0,XGBClassifier,50,0.093,DyS,drugs,0.0,0.42560601554079697,0.5743939844592031,0.0,0.472,0.528
0,XGBClassifier,50,0.83,DySyn+aMoSS,drugs,0.0,0.42560601554079697,0.5743939844592031,0.415,0.306,0.279
0,XGBClassifier,50,0.191,SCH_AC,drugs,0.0,0.42560601554079697,0.5743939844592031,0.0,0.521,0.479
0,XGBClassifier,50,0.081,SCH_GPAC,drugs,0.0,0.42560601554079697,0.5743939844592031,0.0,0.466,0.534
0,XGBClassifier,50,0.103,SCH_DyS,drugs,0.0,0.42560601554079697,0.5743939844592031,0.0,0.374,0.626
0,XGBClassifier,50,0.429,SCH_CC,drugs,0.0,0.42560601554079697,0.5743939844592031,0.14,0.5,0.36
0,XGBClassifier,50,0.135,SCH_MS,drugs,0.0,0.42560601554079697,0.5743939844592031,0.0,0.493,0.507
0,XGBClassifier,50,0.059,SCH_EM,drugs,0.0,0.42560601554079697,0.5743939844592031,0.0,0.455,0.545
0,XGBClassifier,50,0.643,DySyn,drugs,0.0,0.6311984344548652,0.36880156554513477,0.262,0.31,0.429
0,XGBClassifier,50,0.054,DyS,drugs,0.0,0.6311984344548652,0.36880156554513477,0.0,0.604,0.396
0,XGBClassifier,50,0.798,DySyn+aMoSS,drugs,0.0,0.6311984344548652,0.36880156554513477,0.399,0.371,0.23
0,XGBClassifier,50,0.332,SCH_AC,drugs,0.0,0.6311984344548652,0.36880156554513477,0.166,0.481,0.353
0,XGBClassifier,50,0.242,SCH_GPAC,drugs,0.0,0.6311984344548652,0.36880156554513477,0.121,0.553,0.326
0,XGBClassifier,50,0.078,SCH_DyS,drugs,0.0,0.6311984344548652,0.36880156554513477,0.0,0.67,0.33
