,scorer,Test_size,abs_error,quantifier,dataset,actual_c.1,actual_c.2,actual_c.3,pred_c.1,pred_c.2,pred_c.3
0,RandomForestClassifier,50,0.1,DySyn,energy,0.0,0.8095917693114812,0.19040823068851873,0.009,0.759,0.231
0,RandomForestClassifier,50,0.029,DyS,energy,0.0,0.8095917693114812,0.19040823068851873,0.0,0.824,0.176
0,RandomForestClassifier,50,0.033,DySyn+aMoSS,energy,0.0,0.8095917693114812,0.19040823068851873,0.011,0.793,0.196
0,RandomForestClassifier,50,1.619,SCH_AC,energy,0.0,0.8095917693114812,0.19040823068851873,0.0,0.0,1.0
0,RandomForestClassifier,50,0.021,SCH_GPAC,energy,0.0,0.8095917693114812,0.19040823068851873,0.0,0.82,0.18
0,RandomForestClassifier,50,0.041,SCH_DyS,energy,0.0,0.8095917693114812,0.19040823068851873,0.0,0.789,0.211
0,RandomForestClassifier,50,0.12,SCH_CC,energy,0.0,0.8095917693114812,0.19040823068851873,0.06,0.76,0.18
0,RandomForestClassifier,50,0.348,SCH_MS,energy,0.0,0.8095917693114812,0.19040823068851873,0.174,0.688,0.138
0,RandomForestClassifier,50,0.021,SCH_EM,energy,0.0,0.8095917693114812,0.19040823068851873,0.0,0.82,0.18
0,RandomForestClassifier,50,0.018,DySyn,energy,0.0,0.5747878579080359,0.4252121420919642,0.009,0.566,0.425
0,RandomForestClassifier,50,0.05,DyS,energy,0.0,0.5747878579080359,0.4252121420919642,0.0,0.6,0.4
0,RandomForestClassifier,50,0.072,DySyn+aMoSS,energy,0.0,0.5747878579080359,0.4252121420919642,0.011,0.6,0.389
0,RandomForestClassifier,50,1.15,SCH_AC,energy,0.0,0.5747878579080359,0.4252121420919642,0.0,0.0,1.0
0,RandomForestClassifier,50,0.05,SCH_GPAC,energy,0.0,0.5747878579080359,0.4252121420919642,0.0,0.6,0.4
0,RandomForestClassifier,50,0.392,SCH_DyS,energy,0.0,0.5747878579080359,0.4252121420919642,0.0,0.379,0.621
0,RandomForestClassifier,50,0.09,SCH_CC,energy,0.0,0.5747878579080359,0.4252121420919642,0.02,0.6,0.38
0,RandomForestClassifier,50,0.144,SCH_MS,energy,0.0,0.5747878579080359,0.4252121420919642,0.0,0.647,0.353
0,RandomForestClassifier,50,0.05,SCH_EM,energy,0.0,0.5747878579080359,0.4252121420919642,0.0,0.6,0.4
0,RandomForestClassifier,50,0.043,DySyn,energy,0.0,0.1594333941895741,0.8405666058104259,0.01,0.171,0.819
0,RandomForestClassifier,50,0.109,DyS,energy,0.0,0.1594333941895741,0.8405666058104259,0.0,0.214,0.786
0,RandomForestClassifier,50,0.064,DySyn+aMoSS,energy,0.0,0.1594333941895741,0.8405666058104259,0.011,0.128,0.862
0,RandomForestClassifier,50,0.319,SCH_AC,energy,0.0,0.1594333941895741,0.8405666058104259,0.0,0.0,1.0
0,RandomForestClassifier,50,0.041,SCH_GPAC,energy,0.0,0.1594333941895741,0.8405666058104259,-0.0,0.18,0.82
0,RandomForestClassifier,50,0.473,SCH_DyS,energy,0.0,0.1594333941895741,0.8405666058104259,0.0,0.396,0.604
0,RandomForestClassifier,50,0.121,SCH_CC,energy,0.0,0.1594333941895741,0.8405666058104259,0.0,0.22,0.78
0,RandomForestClassifier,50,0.783,SCH_MS,energy,0.0,0.1594333941895741,0.8405666058104259,0.0,0.551,0.449
0,RandomForestClassifier,50,0.041,SCH_EM,energy,0.0,0.1594333941895741,0.8405666058104259,0.0,0.18,0.82
0,RandomForestClassifier,50,0.097,DySyn,energy,0.0,0.7497062341429359,0.25029376585706414,0.01,0.788,0.202
0,RandomForestClassifier,50,0.145,DyS,energy,0.0,0.7497062341429359,0.25029376585706414,0.0,0.822,0.178
0,RandomForestClassifier,50,0.133,DySyn+aMoSS,energy,0.0,0.7497062341429359,0.25029376585706414,0.01,0.806,0.184
0,RandomForestClassifier,50,1.499,SCH_AC,energy,0.0,0.7497062341429359,0.25029376585706414,0.0,0.0,1.0
0,RandomForestClassifier,50,0.141,SCH_GPAC,energy,0.0,0.7497062341429359,0.25029376585706414,0.0,0.82,0.18
0,RandomForestClassifier,50,0.138,SCH_DyS,energy,0.0,0.7497062341429359,0.25029376585706414,0.0,0.818,0.181
0,RandomForestClassifier,50,0.181,SCH_CC,energy,0.0,0.7497062341429359,0.25029376585706414,0.04,0.8,0.16
0,RandomForestClassifier,50,0.346,SCH_MS,energy,0.0,0.7497062341429359,0.25029376585706414,0.173,0.652,0.175
0,RandomForestClassifier,50,0.141,SCH_EM,energy,0.0,0.7497062341429359,0.25029376585706414,0.0,0.82,0.18
0,RandomForestClassifier,50,0.142,DySyn,energy,0.0,0.8520846236976327,0.14791537630236726,0.01,0.913,0.077
0,RandomForestClassifier,50,0.178,DyS,energy,0.0,0.8520846236976327,0.14791537630236726,0.0,0.941,0.059
0,RandomForestClassifier,50,0.158,DySyn+aMoSS,energy,0.0,0.8520846236976327,0.14791537630236726,0.01,0.921,0.069
0,RandomForestClassifier,50,1.704,SCH_AC,energy,0.0,0.8520846236976327,0.14791537630236726,0.0,0.0,1.0
0,RandomForestClassifier,50,0.176,SCH_GPAC,energy,0.0,0.8520846236976327,0.14791537630236726,-0.0,0.94,0.06
0,RandomForestClassifier,50,0.08,SCH_DyS,energy,0.0,0.8520846236976327,0.14791537630236726,0.0,0.892,0.108
0,RandomForestClassifier,50,0.216,SCH_CC,energy,0.0,0.8520846236976327,0.14791537630236726,0.04,0.92,0.04
0,RandomForestClassifier,50,0.534,SCH_MS,energy,0.0,0.8520846236976327,0.14791537630236726,0.267,0.674,0.059
0,RandomForestClassifier,50,0.176,SCH_EM,energy,0.0,0.8520846236976327,0.14791537630236726,0.0,0.94,0.06
0,RandomForestClassifier,50,0.229,DySyn,energy,0.0,0.5353031872896352,0.4646968127103648,0.009,0.421,0.57
