,scorer,Test_size,abs_error,quantifier,dataset,actual_c.1,actual_c.2,actual_c.3,pred_c.1,pred_c.2,pred_c.3
0,XGBClassifier,50,0.038,DySyn,energy,0.0,0.5951824474452994,0.40481755255470075,0.01,0.576,0.414
0,XGBClassifier,50,0.03,DyS,energy,0.0,0.5951824474452994,0.40481755255470075,0.0,0.58,0.42
0,XGBClassifier,50,0.042,DySyn+aMoSS,energy,0.0,0.5951824474452994,0.40481755255470075,0.01,0.574,0.416
0,XGBClassifier,50,1.19,SCH_AC,energy,0.0,0.5951824474452994,0.40481755255470075,0.0,0.0,1.0
0,XGBClassifier,50,0.03,SCH_GPAC,energy,0.0,0.5951824474452994,0.40481755255470075,0.0,0.58,0.42
0,XGBClassifier,50,0.037,SCH_DyS,energy,0.0,0.5951824474452994,0.40481755255470075,0.0,0.576,0.423
0,XGBClassifier,50,0.15,SCH_CC,energy,0.0,0.5951824474452994,0.40481755255470075,0.06,0.52,0.42
0,XGBClassifier,50,1.19,SCH_MS,energy,0.0,0.5951824474452994,0.40481755255470075,0.0,0.0,1.0
0,XGBClassifier,50,0.03,SCH_EM,energy,0.0,0.5951824474452994,0.40481755255470075,0.0,0.58,0.42
0,XGBClassifier,50,0.075,DySyn,energy,0.0,0.5603815336180089,0.439618466381991,0.01,0.588,0.402
0,XGBClassifier,50,0.039,DyS,energy,0.0,0.5603815336180089,0.439618466381991,0.0,0.58,0.42
0,XGBClassifier,50,0.047,DySyn+aMoSS,energy,0.0,0.5603815336180089,0.439618466381991,0.01,0.574,0.416
0,XGBClassifier,50,1.121,SCH_AC,energy,0.0,0.5603815336180089,0.439618466381991,0.0,0.0,1.0
0,XGBClassifier,50,0.039,SCH_GPAC,energy,0.0,0.5603815336180089,0.439618466381991,0.0,0.58,0.42
0,XGBClassifier,50,0.145,SCH_DyS,energy,0.0,0.5603815336180089,0.439618466381991,0.0,0.488,0.512
0,XGBClassifier,50,0.119,SCH_CC,energy,0.0,0.5603815336180089,0.439618466381991,0.02,0.6,0.38
0,XGBClassifier,50,1.121,SCH_MS,energy,0.0,0.5603815336180089,0.439618466381991,0.0,0.0,1.0
0,XGBClassifier,50,0.039,SCH_EM,energy,0.0,0.5603815336180089,0.439618466381991,0.0,0.58,0.42
0,XGBClassifier,50,0.189,DySyn,energy,0.0,0.4274689755931421,0.5725310244068579,0.01,0.333,0.657
0,XGBClassifier,50,0.255,DyS,energy,0.0,0.4274689755931421,0.5725310244068579,0.0,0.3,0.7
0,XGBClassifier,50,0.255,DySyn+aMoSS,energy,0.0,0.4274689755931421,0.5725310244068579,0.01,0.3,0.69
0,XGBClassifier,50,0.855,SCH_AC,energy,0.0,0.4274689755931421,0.5725310244068579,0.0,0.0,1.0
0,XGBClassifier,50,0.255,SCH_GPAC,energy,0.0,0.4274689755931421,0.5725310244068579,0.0,0.3,0.7
