,scorer,Test_size,abs_error,quantifier,dataset,actual_c.1,actual_c.2,actual_c.3,actual_c.4,pred_c.1,pred_c.2,pred_c.3,pred_c.4
0,RandomForestClassifier,50,0.922,DySyn,news_popularity,0.0,0.2309656511871347,0.460396073887761,0.30863827492510437,0.026,0.026,0.205,0.744
0,RandomForestClassifier,50,0.167,DyS,news_popularity,0.0,0.2309656511871347,0.460396073887761,0.30863827492510437,0.0,0.255,0.377,0.368
0,RandomForestClassifier,50,0.254,DySyn+aMoSS,news_popularity,0.0,0.2309656511871347,0.460396073887761,0.30863827492510437,0.012,0.284,0.333,0.37
0,RandomForestClassifier,50,0.921,SCH_AC,news_popularity,0.0,0.2309656511871347,0.460396073887761,0.30863827492510437,0.0,0.652,0.0,0.348
0,RandomForestClassifier,50,0.185,SCH_GPAC,news_popularity,0.0,0.2309656511871347,0.460396073887761,0.30863827492510437,-0.0,0.252,0.368,0.38
0,RandomForestClassifier,50,1.212,SCH_DyS,news_popularity,0.0,0.2309656511871347,0.460396073887761,0.30863827492510437,0.209,0.628,0.006,0.157
0,RandomForestClassifier,50,1.418,SCH_CC,news_popularity,0.0,0.2309656511871347,0.460396073887761,0.30863827492510437,0.0,0.94,0.0,0.06
0,RandomForestClassifier,50,0.327,SCH_MS,news_popularity,0.0,0.2309656511871347,0.460396073887761,0.30863827492510437,0.0,0.395,0.395,0.211
0,RandomForestClassifier,50,0.214,SCH_EM,news_popularity,0.0,0.2309656511871347,0.460396073887761,0.30863827492510437,0.0,0.168,0.416,0.415
0,RandomForestClassifier,50,0.35,DySyn,news_popularity,0.0,0.24397239499709145,0.15857658415052717,0.5974510208523814,0.014,0.405,0.027,0.554
0,RandomForestClassifier,50,0.218,DyS,news_popularity,0.0,0.24397239499709145,0.15857658415052717,0.5974510208523814,0.0,0.353,0.108,0.539
0,RandomForestClassifier,50,0.292,DySyn+aMoSS,news_popularity,0.0,0.24397239499709145,0.15857658415052717,0.5974510208523814,0.013,0.377,0.078,0.532
0,RandomForestClassifier,50,0.756,SCH_AC,news_popularity,0.0,0.24397239499709145,0.15857658415052717,0.5974510208523814,0.0,0.622,0.0,0.378
0,RandomForestClassifier,50,0.266,SCH_GPAC,news_popularity,0.0,0.24397239499709145,0.15857658415052717,0.5974510208523814,0.011,0.366,0.044,0.579
0,RandomForestClassifier,50,1.886,SCH_DyS,news_popularity,0.0,0.24397239499709145,0.15857658415052717,0.5974510208523814,0.943,0.003,0.009,0.045
0,RandomForestClassifier,50,1.432,SCH_CC,news_popularity,0.0,0.24397239499709145,0.15857658415052717,0.5974510208523814,0.0,0.96,0.0,0.04
0,RandomForestClassifier,50,0.715,SCH_MS,news_popularity,0.0,0.24397239499709145,0.15857658415052717,0.5974510208523814,0.0,0.38,0.38,0.24
0,RandomForestClassifier,50,0.267,SCH_EM,news_popularity,0.0,0.24397239499709145,0.15857658415052717,0.5974510208523814,0.0,0.354,0.025,0.621
0,RandomForestClassifier,50,0.521,DySyn,news_popularity,0.0,0.44667680217304834,0.17264610007971384,0.38067709774723774,0.015,0.692,0.031,0.262
0,RandomForestClassifier,50,0.139,DyS,news_popularity,0.0,0.44667680217304834,0.17264610007971384,0.38067709774723774,0.0,0.466,0.223,0.311
0,RandomForestClassifier,50,0.22,DySyn+aMoSS,news_popularity,0.0,0.44667680217304834,0.17264610007971384,0.38067709774723774,0.012,0.518,0.2,0.271
0,RandomForestClassifier,50,1.239,SCH_AC,news_popularity,0.0,0.44667680217304834,0.17264610007971384,0.38067709774723774,0.131,0.0,0.0,0.869
0,RandomForestClassifier,50,0.163,SCH_GPAC,news_popularity,0.0,0.44667680217304834,0.17264610007971384,0.38067709774723774,0.0,0.489,0.212,0.299
0,RandomForestClassifier,50,1.714,SCH_DyS,news_popularity,0.0,0.44667680217304834,0.17264610007971384,0.38067709774723774,0.857,0.003,0.011,0.129
0,RandomForestClassifier,50,0.987,SCH_CC,news_popularity,0.0,0.44667680217304834,0.17264610007971384,0.38067709774723774,0.0,0.94,0.0,0.06
0,RandomForestClassifier,50,0.49,SCH_MS,news_popularity,0.0,0.44667680217304834,0.17264610007971384,0.38067709774723774,0.0,0.417,0.417,0.165
0,RandomForestClassifier,50,0.135,SCH_EM,news_popularity,0.0,0.44667680217304834,0.17264610007971384,0.38067709774723774,0.0,0.433,0.24,0.327
