,scorer,Test_size,abs_error,quantifier,dataset,actual_c.1,actual_c.2,actual_c.3,actual_c.4,pred_c.1,pred_c.2,pred_c.3,pred_c.4
0,SVC,50,0.719,DySyn,news_popularity,0.0,0.4382320379195817,0.26695515091883903,0.2948128111615792,0.342,0.304,0.285,0.07
0,SVC,50,0.953,DyS,news_popularity,0.0,0.4382320379195817,0.26695515091883903,0.2948128111615792,0.372,0.0,0.372,0.257
0,SVC,50,0.56,DySyn+aMoSS,news_popularity,0.0,0.4382320379195817,0.26695515091883903,0.2948128111615792,0.0,0.485,0.5,0.015
0,SVC,50,0.285,SCH_AC,news_popularity,0.0,0.4382320379195817,0.26695515091883903,0.2948128111615792,0.006,0.404,0.404,0.187
0,SVC,50,0.275,SCH_GPAC,news_popularity,0.0,0.4382320379195817,0.26695515091883903,0.2948128111615792,0.054,0.3,0.296,0.349
0,SVC,50,1.986,SCH_DyS,news_popularity,0.0,0.4382320379195817,0.26695515091883903,0.2948128111615792,0.993,0.001,0.006,0.0
0,SVC,50,1.044,SCH_CC,news_popularity,0.0,0.4382320379195817,0.26695515091883903,0.2948128111615792,0.0,0.96,0.0,0.04
0,SVC,50,0.31,SCH_MS,news_popularity,0.0,0.4382320379195817,0.26695515091883903,0.2948128111615792,0.0,0.422,0.422,0.156
0,SVC,50,0.194,SCH_EM,news_popularity,0.0,0.4382320379195817,0.26695515091883903,0.2948128111615792,0.0,0.351,0.257,0.392
0,SVC,50,0.507,DySyn,news_popularity,0.0,0.4066589070473571,0.29818659741264214,0.2951544955400007,0.254,0.33,0.249,0.168
0,SVC,50,0.864,DyS,news_popularity,0.0,0.4066589070473571,0.29818659741264214,0.2951544955400007,0.365,0.135,0.365,0.135
0,SVC,50,0.58,DySyn+aMoSS,news_popularity,0.0,0.4066589070473571,0.29818659741264214,0.2951544955400007,0.0,0.495,0.5,0.005
0,SVC,50,0.246,SCH_AC,news_popularity,0.0,0.4066589070473571,0.29818659741264214,0.2951544955400007,0.0,0.414,0.414,0.172
0,SVC,50,0.121,SCH_GPAC,news_popularity,0.0,0.4066589070473571,0.29818659741264214,0.2951544955400007,0.0,0.405,0.358,0.236
0,SVC,50,0.901,SCH_DyS,news_popularity,0.0,0.4066589070473571,0.29818659741264214,0.2951544955400007,0.338,0.252,0.411,0.0
0,SVC,50,1.147,SCH_CC,news_popularity,0.0,0.4066589070473571,0.29818659741264214,0.2951544955400007,0.0,0.98,0.0,0.02
0,SVC,50,0.299,SCH_MS,news_popularity,0.0,0.4066589070473571,0.29818659741264214,0.2951544955400007,0.024,0.415,0.415,0.145
0,SVC,50,0.256,SCH_EM,news_popularity,0.0,0.4066589070473571,0.29818659741264214,0.2951544955400007,0.0,0.293,0.426,0.281
0,SVC,50,0.741,DySyn,news_popularity,0.0,0.24585242804280688,0.3671491793752888,0.3869983925819044,0.314,0.302,0.314,0.069
0,SVC,50,0.775,DyS,news_popularity,0.0,0.24585242804280688,0.3671491793752888,0.3869983925819044,0.377,0.0,0.377,0.245
0,SVC,50,0.774,DySyn+aMoSS,news_popularity,0.0,0.24585242804280688,0.3671491793752888,0.3869983925819044,0.0,0.497,0.503,0.0
0,SVC,50,0.369,SCH_AC,news_popularity,0.0,0.24585242804280688,0.3671491793752888,0.3869983925819044,0.006,0.396,0.396,0.203
0,SVC,50,0.259,SCH_GPAC,news_popularity,0.0,0.24585242804280688,0.3671491793752888,0.3869983925819044,0.006,0.148,0.49,0.355
0,SVC,50,1.914,SCH_DyS,news_popularity,0.0,0.24585242804280688,0.3671491793752888,0.3869983925819044,0.957,0.002,0.006,0.035
0,SVC,50,1.348,SCH_CC,news_popularity,0.0,0.24585242804280688,0.3671491793752888,0.3869983925819044,0.0,0.92,0.0,0.08
0,SVC,50,0.378,SCH_MS,news_popularity,0.0,0.24585242804280688,0.3671491793752888,0.3869983925819044,0.0,0.401,0.401,0.198
0,SVC,50,0.236,SCH_EM,news_popularity,0.0,0.24585242804280688,0.3671491793752888,0.3869983925819044,0.0,0.128,0.476,0.396
0,SVC,50,0.854,DySyn,news_popularity,0.0,0.20016922259877004,0.36278141164770916,0.4370493657535208,0.276,0.351,0.276,0.097
0,SVC,50,0.682,DyS,news_popularity,0.0,0.20016922259877004,0.36278141164770916,0.4370493657535208,0.341,0.13,0.341,0.188
0,SVC,50,0.815,DySyn+aMoSS,news_popularity,0.0,0.20016922259877004,0.36278141164770916,0.4370493657535208,0.0,0.483,0.488,0.03
0,SVC,50,0.482,SCH_AC,news_popularity,0.0,0.20016922259877004,0.36278141164770916,0.4370493657535208,0.0,0.402,0.402,0.196
0,SVC,50,0.323,SCH_GPAC,news_popularity,0.0,0.20016922259877004,0.36278141164770916,0.4370493657535208,0.0,0.123,0.524,0.352
0,SVC,50,1.545,SCH_DyS,news_popularity,0.0,0.20016922259877004,0.36278141164770916,0.4370493657535208,0.557,0.415,0.004,0.023
0,SVC,50,1.52,SCH_CC,news_popularity,0.0,0.20016922259877004,0.36278141164770916,0.4370493657535208,0.0,0.96,0.0,0.04
0,SVC,50,0.471,SCH_MS,news_popularity,0.0,0.20016922259877004,0.36278141164770916,0.4370493657535208,0.0,0.399,0.399,0.201
0,SVC,50,0.285,SCH_EM,news_popularity,0.0,0.20016922259877004,0.36278141164770916,0.4370493657535208,0.0,0.101,0.506,0.394
0,SVC,50,0.505,DySyn,news_popularity,0.0,0.41722383823893106,0.28758342308813406,0.2951927386729349,0.253,0.258,0.253,0.237
0,SVC,50,1.194,DyS,news_popularity,0.0,0.41722383823893106,0.28758342308813406,0.2951927386729349,0.442,0.0,0.442,0.115
0,SVC,50,0.56,DySyn+aMoSS,news_popularity,0.0,0.41722383823893106,0.28758342308813406,0.2951927386729349,0.0,0.49,0.495,0.015
0,SVC,50,0.298,SCH_AC,news_popularity,0.0,0.41722383823893106,0.28758342308813406,0.2951927386729349,0.0,0.427,0.427,0.146
0,SVC,50,0.225,SCH_GPAC,news_popularity,0.0,0.41722383823893106,0.28758342308813406,0.2951927386729349,0.033,0.371,0.367,0.229
0,SVC,50,1.916,SCH_DyS,news_popularity,0.0,0.41722383823893106,0.28758342308813406,0.2951927386729349,0.958,0.002,0.006,0.034
0,SVC,50,1.046,SCH_CC,news_popularity,0.0,0.41722383823893106,0.28758342308813406,0.2951927386729349,0.0,0.94,0.0,0.06
0,SVC,50,0.326,SCH_MS,news_popularity,0.0,0.41722383823893106,0.28758342308813406,0.2951927386729349,0.0,0.434,0.434,0.132
0,SVC,50,0.169,SCH_EM,news_popularity,0.0,0.41722383823893106,0.28758342308813406,0.2951927386729349,0.0,0.364,0.372,0.264
0,SVC,50,0.765,DySyn,news_popularity,0.0,0.4146108986471556,0.09344619566993755,0.4919429056829068,0.236,0.24,0.24,0.284
0,SVC,50,1.34,DyS,news_popularity,0.0,0.4146108986471556,0.09344619566993755,0.4919429056829068,0.382,0.0,0.382,0.237
