,scorer,Test_size,abs_error,quantifier,dataset,actual_c.1,actual_c.2,actual_c.3,actual_c.4,pred_c.1,pred_c.2,pred_c.3,pred_c.4
0,XGBClassifier,50,0.105,DySyn,news_popularity,0.0,0.09362549588110572,0.4157282462003424,0.49064625791855193,0.01,0.095,0.457,0.438
0,XGBClassifier,50,0.089,DyS,news_popularity,0.0,0.09362549588110572,0.4157282462003424,0.49064625791855193,0.0,0.08,0.46,0.46
0,XGBClassifier,50,0.091,DySyn+aMoSS,news_popularity,0.0,0.09362549588110572,0.4157282462003424,0.49064625791855193,0.01,0.088,0.451,0.451
0,XGBClassifier,50,0.875,SCH_AC,news_popularity,0.0,0.09362549588110572,0.4157282462003424,0.49064625791855193,0.0,0.531,0.164,0.305
0,XGBClassifier,50,0.199,SCH_GPAC,news_popularity,0.0,0.09362549588110572,0.4157282462003424,0.49064625791855193,0.023,-0.0,0.492,0.485
0,XGBClassifier,50,0.903,SCH_DyS,news_popularity,0.0,0.09362549588110572,0.4157282462003424,0.49064625791855193,0.086,0.001,0.781,0.132
0,XGBClassifier,50,1.613,SCH_CC,news_popularity,0.0,0.09362549588110572,0.4157282462003424,0.49064625791855193,0.0,0.9,0.0,0.1
0,XGBClassifier,50,1.103,SCH_MS,news_popularity,0.0,0.09362549588110572,0.4157282462003424,0.49064625791855193,0.0,0.645,0.0,0.355
0,XGBClassifier,50,0.091,SCH_EM,news_popularity,0.0,0.09362549588110572,0.4157282462003424,0.49064625791855193,0.0,0.051,0.413,0.536
0,XGBClassifier,50,0.157,DySyn,news_popularity,0.0,0.4081709022514082,0.33530669980603844,0.2565223979425535,0.01,0.457,0.257,0.276
0,XGBClassifier,50,0.151,DyS,news_popularity,0.0,0.4081709022514082,0.33530669980603844,0.2565223979425535,0.0,0.46,0.26,0.28
0,XGBClassifier,50,0.142,DySyn+aMoSS,news_popularity,0.0,0.4081709022514082,0.33530669980603844,0.2565223979425535,0.01,0.451,0.265,0.275
0,XGBClassifier,50,0.734,SCH_AC,news_popularity,0.0,0.4081709022514082,0.33530669980603844,0.2565223979425535,0.0,0.775,0.0,0.225
0,XGBClassifier,50,0.139,SCH_GPAC,news_popularity,0.0,0.4081709022514082,0.33530669980603844,0.2565223979425535,0.007,0.461,0.266,0.266
0,XGBClassifier,50,1.985,SCH_DyS,news_popularity,0.0,0.4081709022514082,0.33530669980603844,0.2565223979425535,0.993,0.002,0.006,0.0
0,XGBClassifier,50,1.184,SCH_CC,news_popularity,0.0,0.4081709022514082,0.33530669980603844,0.2565223979425535,0.0,1.0,0.0,0.0
0,XGBClassifier,50,0.766,SCH_MS,news_popularity,0.0,0.4081709022514082,0.33530669980603844,0.2565223979425535,0.0,0.791,0.0,0.209
