,scorer,Test_size,abs_error,quantifier,dataset,actual_c.0,actual_c.1,actual_c.2,pred_c.0,pred_c.1,pred_c.2
0,RandomForestClassifier,50,0.023,DySyn,nursery,0.0,0.9389470002328413,0.061052999767158764,0.01,0.941,0.05
0,RandomForestClassifier,50,0.016,DyS,nursery,0.0,0.9389470002328413,0.061052999767158764,0.0,0.931,0.069
0,RandomForestClassifier,50,0.032,DySyn+aMoSS,nursery,0.0,0.9389470002328413,0.061052999767158764,0.011,0.923,0.066
0,RandomForestClassifier,50,0.042,SCH_AC,nursery,0.0,0.9389470002328413,0.061052999767158764,0.0,0.918,0.082
0,RandomForestClassifier,50,0.034,SCH_GPAC,nursery,0.0,0.9389470002328413,0.061052999767158764,-0.0,0.956,0.044
0,RandomForestClassifier,50,0.088,SCH_DyS,nursery,0.0,0.9389470002328413,0.061052999767158764,0.0,0.983,0.017
0,RandomForestClassifier,50,0.038,SCH_CC,nursery,0.0,0.9389470002328413,0.061052999767158764,0.0,0.92,0.08
0,RandomForestClassifier,50,1.061,SCH_MS,nursery,0.0,0.9389470002328413,0.061052999767158764,0.412,0.408,0.179
0,RandomForestClassifier,50,0.026,SCH_EM,nursery,0.0,0.9389470002328413,0.061052999767158764,0.0,0.952,0.048
0,RandomForestClassifier,50,0.149,DySyn,nursery,0.0,0.5995679721340865,0.4004320278659134,0.01,0.525,0.465
0,RandomForestClassifier,50,0.149,DyS,nursery,0.0,0.5995679721340865,0.4004320278659134,0.0,0.525,0.475
0,RandomForestClassifier,50,0.026,DySyn+aMoSS,nursery,0.0,0.5995679721340865,0.4004320278659134,0.013,0.59,0.397
0,RandomForestClassifier,50,0.209,SCH_AC,nursery,0.0,0.5995679721340865,0.4004320278659134,0.0,0.495,0.505
0,RandomForestClassifier,50,0.209,SCH_GPAC,nursery,0.0,0.5995679721340865,0.4004320278659134,0.0,0.495,0.505
0,RandomForestClassifier,50,0.217,SCH_DyS,nursery,0.0,0.5995679721340865,0.4004320278659134,0.0,0.491,0.509
0,RandomForestClassifier,50,0.199,SCH_CC,nursery,0.0,0.5995679721340865,0.4004320278659134,0.0,0.5,0.5
0,RandomForestClassifier,50,0.84,SCH_MS,nursery,0.0,0.5995679721340865,0.4004320278659134,0.42,0.28,0.3
0,RandomForestClassifier,50,0.209,SCH_EM,nursery,0.0,0.5995679721340865,0.4004320278659134,0.0,0.495,0.505
0,RandomForestClassifier,50,0.165,DySyn,nursery,0.0,0.45156175182303476,0.5484382481769653,0.01,0.369,0.621
0,RandomForestClassifier,50,0.069,DyS,nursery,0.0,0.45156175182303476,0.5484382481769653,0.0,0.417,0.583
0,RandomForestClassifier,50,0.427,DySyn+aMoSS,nursery,0.0,0.45156175182303476,0.5484382481769653,0.012,0.238,0.75
0,RandomForestClassifier,50,0.043,SCH_AC,nursery,0.0,0.45156175182303476,0.5484382481769653,0.0,0.473,0.527
0,RandomForestClassifier,50,0.057,SCH_GPAC,nursery,0.0,0.45156175182303476,0.5484382481769653,0.0,0.48,0.52
