,scorer,Test_size,abs_error,quantifier,dataset,actual_c.0,actual_c.1,actual_c.2,pred_c.0,pred_c.1,pred_c.2
0,SVC,50,0.948,DySyn,nursery,0.0,0.11530395005404866,0.8846960499459513,0.212,0.378,0.411
0,SVC,50,0.089,DyS,nursery,0.0,0.11530395005404866,0.8846960499459513,0.0,0.16,0.84
0,SVC,50,2.0,DySyn+aMoSS,nursery,0.0,0.11530395005404866,0.8846960499459513,1.0,0.0,0.0
0,SVC,50,0.037,SCH_AC,nursery,0.0,0.11530395005404866,0.8846960499459513,0.0,0.097,0.903
0,SVC,50,0.043,SCH_GPAC,nursery,0.0,0.11530395005404866,0.8846960499459513,0.0,0.094,0.906
0,SVC,50,0.213,SCH_DyS,nursery,0.0,0.11530395005404866,0.8846960499459513,0.0,0.009,0.991
0,SVC,50,0.031,SCH_CC,nursery,0.0,0.11530395005404866,0.8846960499459513,0.0,0.1,0.9
0,SVC,50,1.008,SCH_MS,nursery,0.0,0.11530395005404866,0.8846960499459513,0.391,0.229,0.381
0,SVC,50,0.171,SCH_EM,nursery,0.0,0.11530395005404866,0.8846960499459513,0.0,0.03,0.97
0,SVC,50,0.412,DySyn,nursery,0.0,0.585863187043472,0.4141368129565281,0.206,0.399,0.395
0,SVC,50,0.024,DyS,nursery,0.0,0.585863187043472,0.4141368129565281,0.0,0.574,0.426
0,SVC,50,2.0,DySyn+aMoSS,nursery,0.0,0.585863187043472,0.4141368129565281,1.0,0.0,0.0
0,SVC,50,0.084,SCH_AC,nursery,0.0,0.585863187043472,0.4141368129565281,0.0,0.628,0.372
0,SVC,50,0.052,SCH_GPAC,nursery,0.0,0.585863187043472,0.4141368129565281,0.0,0.612,0.388
0,SVC,50,0.094,SCH_DyS,nursery,0.0,0.585863187043472,0.4141368129565281,0.0,0.633,0.367
0,SVC,50,0.068,SCH_CC,nursery,0.0,0.585863187043472,0.4141368129565281,0.0,0.62,0.38
0,SVC,50,0.83,SCH_MS,nursery,0.0,0.585863187043472,0.4141368129565281,0.415,0.338,0.247
0,SVC,50,0.052,SCH_EM,nursery,0.0,0.585863187043472,0.4141368129565281,0.0,0.612,0.388
0,SVC,50,0.407,DySyn,nursery,0.0,0.413270009238101,0.586729990761899,0.203,0.372,0.424
0,SVC,50,0.415,DyS,nursery,0.0,0.413270009238101,0.586729990761899,0.0,0.206,0.794
0,SVC,50,2.0,DySyn+aMoSS,nursery,0.0,0.413270009238101,0.586729990761899,1.0,0.0,0.0
0,SVC,50,0.207,SCH_AC,nursery,0.0,0.413270009238101,0.586729990761899,0.0,0.517,0.483
0,SVC,50,0.185,SCH_GPAC,nursery,0.0,0.413270009238101,0.586729990761899,0.0,0.506,0.494
0,SVC,50,0.047,SCH_DyS,nursery,0.0,0.413270009238101,0.586729990761899,0.0,0.39,0.61
0,SVC,50,0.053,SCH_CC,nursery,0.0,0.413270009238101,0.586729990761899,0.0,0.44,0.56
0,SVC,50,0.862,SCH_MS,nursery,0.0,0.413270009238101,0.586729990761899,0.431,0.278,0.291
0,SVC,50,0.187,SCH_EM,nursery,0.0,0.413270009238101,0.586729990761899,0.0,0.507,0.493
0,SVC,50,0.702,DySyn,nursery,0.0,0.2580021756905359,0.7419978243094641,0.21,0.399,0.391
0,SVC,50,0.072,DyS,nursery,0.0,0.2580021756905359,0.7419978243094641,0.0,0.222,0.778
0,SVC,50,2.0,DySyn+aMoSS,nursery,0.0,0.2580021756905359,0.7419978243094641,1.0,0.0,0.0
0,SVC,50,0.208,SCH_AC,nursery,0.0,0.2580021756905359,0.7419978243094641,0.0,0.362,0.638
0,SVC,50,0.148,SCH_GPAC,nursery,0.0,0.2580021756905359,0.7419978243094641,-0.0,0.332,0.668
0,SVC,50,0.274,SCH_DyS,nursery,0.0,0.2580021756905359,0.7419978243094641,0.0,0.395,0.605
0,SVC,50,0.084,SCH_CC,nursery,0.0,0.2580021756905359,0.7419978243094641,0.0,0.3,0.7
0,SVC,50,0.863,SCH_MS,nursery,0.0,0.2580021756905359,0.7419978243094641,0.432,0.225,0.344
0,SVC,50,0.152,SCH_EM,nursery,0.0,0.2580021756905359,0.7419978243094641,0.0,0.334,0.666
0,SVC,50,1.018,DySyn,nursery,0.0,0.968542244707685,0.03145775529231497,0.259,0.459,0.281
0,SVC,50,0.015,DyS,nursery,0.0,0.968542244707685,0.03145775529231497,0.0,0.961,0.039
0,SVC,50,2.0,DySyn+aMoSS,nursery,0.0,0.968542244707685,0.03145775529231497,1.0,0.0,0.0
0,SVC,50,0.101,SCH_AC,nursery,0.0,0.968542244707685,0.03145775529231497,0.0,0.918,0.082
0,SVC,50,0.051,SCH_GPAC,nursery,0.0,0.968542244707685,0.03145775529231497,0.0,0.994,0.006
0,SVC,50,0.063,SCH_DyS,nursery,0.0,0.968542244707685,0.03145775529231497,0.0,1.0,0.0
0,SVC,50,0.063,SCH_CC,nursery,0.0,0.968542244707685,0.03145775529231497,0.0,1.0,0.0
0,SVC,50,1.064,SCH_MS,nursery,0.0,0.968542244707685,0.03145775529231497,0.437,0.437,0.127
0,SVC,50,0.063,SCH_EM,nursery,0.0,0.968542244707685,0.03145775529231497,0.0,1.0,0.0
0,SVC,50,0.396,DySyn,nursery,0.0,0.546683443920238,0.45331655607976196,0.198,0.401,0.401
0,SVC,50,0.111,DyS,nursery,0.0,0.546683443920238,0.45331655607976196,0.0,0.491,0.509
