,scorer,Test_size,abs_error,quantifier,dataset,actual_c.0,actual_c.1,actual_c.2,pred_c.0,pred_c.1,pred_c.2
0,XGBClassifier,50,0.151,DySyn,nursery,0.0,0.38618177260910935,0.6138182273908906,0.01,0.311,0.68
0,XGBClassifier,50,0.086,DyS,nursery,0.0,0.38618177260910935,0.6138182273908906,0.0,0.343,0.657
0,XGBClassifier,50,0.112,DySyn+aMoSS,nursery,0.0,0.38618177260910935,0.6138182273908906,0.01,0.33,0.66
0,XGBClassifier,50,0.092,SCH_AC,nursery,0.0,0.38618177260910935,0.6138182273908906,0.0,0.34,0.66
0,XGBClassifier,50,0.126,SCH_GPAC,nursery,0.0,0.38618177260910935,0.6138182273908906,-0.0,0.323,0.677
0,XGBClassifier,50,0.048,SCH_DyS,nursery,0.0,0.38618177260910935,0.6138182273908906,0.0,0.41,0.59
0,XGBClassifier,50,0.052,SCH_CC,nursery,0.0,0.38618177260910935,0.6138182273908906,0.0,0.36,0.64
0,XGBClassifier,50,0.86,SCH_MS,nursery,0.0,0.38618177260910935,0.6138182273908906,0.43,0.256,0.314
0,XGBClassifier,50,0.108,SCH_EM,nursery,0.0,0.38618177260910935,0.6138182273908906,0.0,0.332,0.668
0,XGBClassifier,50,0.264,DySyn,nursery,0.0,0.7739724710226158,0.22602752897738423,0.011,0.642,0.347
0,XGBClassifier,50,0.188,DyS,nursery,0.0,0.7739724710226158,0.22602752897738423,0.0,0.68,0.32
0,XGBClassifier,50,0.214,DySyn+aMoSS,nursery,0.0,0.7739724710226158,0.22602752897738423,0.01,0.667,0.323
0,XGBClassifier,50,0.114,SCH_AC,nursery,0.0,0.7739724710226158,0.22602752897738423,0.0,0.717,0.283
0,XGBClassifier,50,0.142,SCH_GPAC,nursery,0.0,0.7739724710226158,0.22602752897738423,0.0,0.703,0.297
0,XGBClassifier,50,0.538,SCH_DyS,nursery,0.0,0.7739724710226158,0.22602752897738423,0.0,0.505,0.495
0,XGBClassifier,50,0.188,SCH_CC,nursery,0.0,0.7739724710226158,0.22602752897738423,0.0,0.68,0.32
0,XGBClassifier,50,0.89,SCH_MS,nursery,0.0,0.7739724710226158,0.22602752897738423,0.432,0.329,0.239
0,XGBClassifier,50,0.172,SCH_EM,nursery,0.0,0.7739724710226158,0.22602752897738423,0.0,0.688,0.312
0,XGBClassifier,50,0.085,DySyn,nursery,0.0,0.6635890071298397,0.33641099287016024,0.01,0.696,0.294
0,XGBClassifier,50,0.033,DyS,nursery,0.0,0.6635890071298397,0.33641099287016024,0.0,0.68,0.32
0,XGBClassifier,50,0.039,DySyn+aMoSS,nursery,0.0,0.6635890071298397,0.33641099287016024,0.01,0.673,0.317
0,XGBClassifier,50,0.017,SCH_AC,nursery,0.0,0.6635890071298397,0.33641099287016024,0.0,0.672,0.328
0,XGBClassifier,50,0.047,SCH_GPAC,nursery,0.0,0.6635890071298397,0.33641099287016024,0.0,0.687,0.313
0,XGBClassifier,50,0.023,SCH_DyS,nursery,0.0,0.6635890071298397,0.33641099287016024,0.0,0.675,0.325
0,XGBClassifier,50,0.033,SCH_CC,nursery,0.0,0.6635890071298397,0.33641099287016024,0.0,0.68,0.32
0,XGBClassifier,50,0.806,SCH_MS,nursery,0.0,0.6635890071298397,0.33641099287016024,0.403,0.34,0.257
0,XGBClassifier,50,0.093,SCH_EM,nursery,0.0,0.6635890071298397,0.33641099287016024,0.0,0.71,0.29
0,XGBClassifier,50,0.295,DySyn,nursery,0.0,0.8722150378298741,0.12778496217012603,0.01,0.724,0.265
0,XGBClassifier,50,0.168,DyS,nursery,0.0,0.8722150378298741,0.12778496217012603,0.0,0.788,0.212
0,XGBClassifier,50,0.24,DySyn+aMoSS,nursery,0.0,0.8722150378298741,0.12778496217012603,0.01,0.752,0.238
0,XGBClassifier,50,0.176,SCH_AC,nursery,0.0,0.8722150378298741,0.12778496217012603,0.0,0.784,0.216
0,XGBClassifier,50,0.116,SCH_GPAC,nursery,0.0,0.8722150378298741,0.12778496217012603,0.0,0.814,0.186
0,XGBClassifier,50,0.646,SCH_DyS,nursery,0.0,0.8722150378298741,0.12778496217012603,0.0,0.549,0.451
0,XGBClassifier,50,0.144,SCH_CC,nursery,0.0,0.8722150378298741,0.12778496217012603,0.0,0.8,0.2
0,XGBClassifier,50,1.014,SCH_MS,nursery,0.0,0.8722150378298741,0.12778496217012603,0.405,0.365,0.23
0,XGBClassifier,50,0.06,SCH_EM,nursery,0.0,0.8722150378298741,0.12778496217012603,0.0,0.842,0.158
0,XGBClassifier,50,0.091,DySyn,nursery,0.0,0.5044785940233575,0.4955214059766425,0.01,0.459,0.531
0,XGBClassifier,50,0.089,DyS,nursery,0.0,0.5044785940233575,0.4955214059766425,0.0,0.46,0.54
0,XGBClassifier,50,0.109,DySyn+aMoSS,nursery,0.0,0.5044785940233575,0.4955214059766425,0.01,0.45,0.54
0,XGBClassifier,50,0.109,SCH_AC,nursery,0.0,0.5044785940233575,0.4955214059766425,0.0,0.45,0.55
0,XGBClassifier,50,0.037,SCH_GPAC,nursery,0.0,0.5044785940233575,0.4955214059766425,0.0,0.486,0.514
0,XGBClassifier,50,0.139,SCH_DyS,nursery,0.0,0.5044785940233575,0.4955214059766425,0.0,0.574,0.426
0,XGBClassifier,50,0.089,SCH_CC,nursery,0.0,0.5044785940233575,0.4955214059766425,0.0,0.46,0.54
0,XGBClassifier,50,0.85,SCH_MS,nursery,0.0,0.5044785940233575,0.4955214059766425,0.425,0.305,0.27
0,XGBClassifier,50,0.033,SCH_EM,nursery,0.0,0.5044785940233575,0.4955214059766425,0.0,0.488,0.512
0,XGBClassifier,50,0.185,DySyn,nursery,0.0,0.10956853539184352,0.8904314646081566,0.01,0.192,0.798
0,XGBClassifier,50,0.141,DyS,nursery,0.0,0.10956853539184352,0.8904314646081566,0.0,0.18,0.82
0,XGBClassifier,50,0.177,DySyn+aMoSS,nursery,0.0,0.10956853539184352,0.8904314646081566,0.01,0.188,0.802
0,XGBClassifier,50,0.151,SCH_AC,nursery,0.0,0.10956853539184352,0.8904314646081566,0.0,0.185,0.815
0,XGBClassifier,50,0.061,SCH_GPAC,nursery,0.0,0.10956853539184352,0.8904314646081566,0.0,0.14,0.86
0,XGBClassifier,50,0.085,SCH_DyS,nursery,0.0,0.10956853539184352,0.8904314646081566,0.0,0.067,0.933
0,XGBClassifier,50,0.141,SCH_CC,nursery,0.0,0.10956853539184352,0.8904314646081566,0.0,0.18,0.82
0,XGBClassifier,50,0.991,SCH_MS,nursery,0.0,0.10956853539184352,0.8904314646081566,0.424,0.181,0.395
0,XGBClassifier,50,0.061,SCH_EM,nursery,0.0,0.10956853539184352,0.8904314646081566,0.0,0.14,0.86
0,XGBClassifier,50,0.16,DySyn,nursery,0.0,0.3874178594221641,0.6125821405778359,0.01,0.308,0.683
0,XGBClassifier,50,0.095,DyS,nursery,0.0,0.3874178594221641,0.6125821405778359,0.0,0.34,0.66
0,XGBClassifier,50,0.101,DySyn+aMoSS,nursery,0.0,0.3874178594221641,0.6125821405778359,0.01,0.337,0.653
0,XGBClassifier,50,0.139,SCH_AC,nursery,0.0,0.3874178594221641,0.6125821405778359,0.0,0.318,0.682
0,XGBClassifier,50,0.207,SCH_GPAC,nursery,0.0,0.3874178594221641,0.6125821405778359,-0.0,0.284,0.716
0,XGBClassifier,50,0.411,SCH_DyS,nursery,0.0,0.3874178594221641,0.6125821405778359,0.0,0.182,0.818
0,XGBClassifier,50,0.095,SCH_CC,nursery,0.0,0.3874178594221641,0.6125821405778359,0.0,0.34,0.66
0,XGBClassifier,50,0.844,SCH_MS,nursery,0.0,0.3874178594221641,0.6125821405778359,0.422,0.211,0.367
0,XGBClassifier,50,0.163,SCH_EM,nursery,0.0,0.3874178594221641,0.6125821405778359,0.0,0.306,0.694
0,XGBClassifier,50,0.044,DySyn,nursery,0.0,0.8706017510672497,0.12939824893275034,0.01,0.848,0.141
0,XGBClassifier,50,0.021,DyS,nursery,0.0,0.8706017510672497,0.12939824893275034,0.0,0.86,0.14
0,XGBClassifier,50,0.058,DySyn+aMoSS,nursery,0.0,0.8706017510672497,0.12939824893275034,0.01,0.842,0.149
0,XGBClassifier,50,0.085,SCH_AC,nursery,0.0,0.8706017510672497,0.12939824893275034,0.0,0.828,0.172
0,XGBClassifier,50,0.059,SCH_GPAC,nursery,0.0,0.8706017510672497,0.12939824893275034,0.0,0.9,0.1
0,XGBClassifier,50,0.199,SCH_DyS,nursery,0.0,0.8706017510672497,0.12939824893275034,0.0,0.97,0.03
0,XGBClassifier,50,0.021,SCH_CC,nursery,0.0,0.8706017510672497,0.12939824893275034,0.0,0.86,0.14
0,XGBClassifier,50,0.947,SCH_MS,nursery,0.0,0.8706017510672497,0.12939824893275034,0.42,0.397,0.183
0,XGBClassifier,50,0.033,SCH_EM,nursery,0.0,0.8706017510672497,0.12939824893275034,0.0,0.887,0.113
0,XGBClassifier,50,0.192,DySyn,nursery,0.0,0.44578578567869853,0.5542142143213014,0.01,0.35,0.64
0,XGBClassifier,50,0.132,DyS,nursery,0.0,0.44578578567869853,0.5542142143213014,0.0,0.38,0.62
0,XGBClassifier,50,0.144,DySyn+aMoSS,nursery,0.0,0.44578578567869853,0.5542142143213014,0.01,0.374,0.616
0,XGBClassifier,50,0.036,SCH_AC,nursery,0.0,0.44578578567869853,0.5542142143213014,0.0,0.428,0.572
0,XGBClassifier,50,0.086,SCH_GPAC,nursery,0.0,0.44578578567869853,0.5542142143213014,0.0,0.403,0.597
0,XGBClassifier,50,0.148,SCH_DyS,nursery,0.0,0.44578578567869853,0.5542142143213014,0.0,0.372,0.628
0,XGBClassifier,50,0.132,SCH_CC,nursery,0.0,0.44578578567869853,0.5542142143213014,0.0,0.38,0.62
0,XGBClassifier,50,0.846,SCH_MS,nursery,0.0,0.44578578567869853,0.5542142143213014,0.423,0.248,0.329
0,XGBClassifier,50,0.08,SCH_EM,nursery,0.0,0.44578578567869853,0.5542142143213014,0.0,0.406,0.594
