,scorer,Test_size,abs_error,quantifier,dataset,actual_c.1,actual_c.2,actual_c.3,pred_c.1,pred_c.2,pred_c.3
0,SVC,50,0.704,DySyn,skillcraft,0.0,0.35479839694498916,0.6452016030550107,0.352,0.324,0.324
0,SVC,50,0.58,DyS,skillcraft,0.0,0.35479839694498916,0.6452016030550107,0.216,0.065,0.719
0,SVC,50,0.652,DySyn+aMoSS,skillcraft,0.0,0.35479839694498916,0.6452016030550107,0.01,0.029,0.961
0,SVC,50,0.016,SCH_AC,skillcraft,0.0,0.35479839694498916,0.6452016030550107,0.0,0.363,0.637
0,SVC,50,0.382,SCH_GPAC,skillcraft,0.0,0.35479839694498916,0.6452016030550107,0.012,0.534,0.454
0,SVC,50,0.564,SCH_DyS,skillcraft,0.0,0.35479839694498916,0.6452016030550107,0.093,0.073,0.834
0,SVC,50,1.29,SCH_CC,skillcraft,0.0,0.35479839694498916,0.6452016030550107,0.0,1.0,0.0
0,SVC,50,0.316,SCH_MS,skillcraft,0.0,0.35479839694498916,0.6452016030550107,0.0,0.513,0.487
0,SVC,50,0.152,SCH_EM,skillcraft,0.0,0.35479839694498916,0.6452016030550107,0.0,0.431,0.569
0,SVC,50,0.657,DySyn,skillcraft,0.0,0.5202138532581349,0.4797861467418651,0.329,0.336,0.336
0,SVC,50,0.91,DyS,skillcraft,0.0,0.5202138532581349,0.4797861467418651,0.216,0.065,0.719
0,SVC,50,0.964,DySyn+aMoSS,skillcraft,0.0,0.5202138532581349,0.4797861467418651,0.01,0.038,0.952
0,SVC,50,0.306,SCH_AC,skillcraft,0.0,0.5202138532581349,0.4797861467418651,0.0,0.367,0.633
0,SVC,50,0.127,SCH_GPAC,skillcraft,0.0,0.5202138532581349,0.4797861467418651,0.014,0.57,0.417
0,SVC,50,0.894,SCH_DyS,skillcraft,0.0,0.5202138532581349,0.4797861467418651,0.093,0.073,0.834
0,SVC,50,0.96,SCH_CC,skillcraft,0.0,0.5202138532581349,0.4797861467418651,0.0,1.0,0.0
0,SVC,50,0.002,SCH_MS,skillcraft,0.0,0.5202138532581349,0.4797861467418651,0.0,0.521,0.479
0,SVC,50,0.018,SCH_EM,skillcraft,0.0,0.5202138532581349,0.4797861467418651,0.0,0.529,0.471
0,SVC,50,0.712,DySyn,skillcraft,0.0,0.2881473649093072,0.7118526350906929,0.302,0.342,0.356
0,SVC,50,0.446,DyS,skillcraft,0.0,0.2881473649093072,0.7118526350906929,0.216,0.065,0.719
0,SVC,50,0.5,DySyn+aMoSS,skillcraft,0.0,0.2881473649093072,0.7118526350906929,0.019,0.038,0.943
0,SVC,50,0.148,SCH_AC,skillcraft,0.0,0.2881473649093072,0.7118526350906929,0.0,0.362,0.638
0,SVC,50,0.134,SCH_GPAC,skillcraft,0.0,0.2881473649093072,0.7118526350906929,0.033,0.322,0.645
0,SVC,50,0.43,SCH_DyS,skillcraft,0.0,0.2881473649093072,0.7118526350906929,0.093,0.073,0.834
0,SVC,50,1.424,SCH_CC,skillcraft,0.0,0.2881473649093072,0.7118526350906929,0.0,1.0,0.0
0,SVC,50,0.424,SCH_MS,skillcraft,0.0,0.2881473649093072,0.7118526350906929,0.0,0.5,0.5
0,SVC,50,0.116,SCH_EM,skillcraft,0.0,0.2881473649093072,0.7118526350906929,0.0,0.346,0.654
0,SVC,50,0.666,DySyn,skillcraft,0.0,0.4537606980310946,0.5462393019689054,0.333,0.347,0.32
0,SVC,50,0.778,DyS,skillcraft,0.0,0.4537606980310946,0.5462393019689054,0.216,0.065,0.719
0,SVC,50,0.85,DySyn+aMoSS,skillcraft,0.0,0.4537606980310946,0.5462393019689054,0.019,0.029,0.952
0,SVC,50,0.13,SCH_AC,skillcraft,0.0,0.4537606980310946,0.5462393019689054,0.0,0.389,0.611
0,SVC,50,0.018,SCH_GPAC,skillcraft,0.0,0.4537606980310946,0.5462393019689054,0.009,0.451,0.54
0,SVC,50,0.762,SCH_DyS,skillcraft,0.0,0.4537606980310946,0.5462393019689054,0.093,0.073,0.834
0,SVC,50,1.092,SCH_CC,skillcraft,0.0,0.4537606980310946,0.5462393019689054,0.0,1.0,0.0
0,SVC,50,0.154,SCH_MS,skillcraft,0.0,0.4537606980310946,0.5462393019689054,0.0,0.531,0.469
0,SVC,50,0.162,SCH_EM,skillcraft,0.0,0.4537606980310946,0.5462393019689054,0.0,0.373,0.627
0,SVC,50,0.69,DySyn,skillcraft,0.0,0.5963168600176983,0.4036831399823016,0.345,0.338,0.317
0,SVC,50,1.063,DyS,skillcraft,0.0,0.5963168600176983,0.4036831399823016,0.216,0.065,0.719
0,SVC,50,1.135,DySyn+aMoSS,skillcraft,0.0,0.5963168600176983,0.4036831399823016,0.019,0.029,0.952
0,SVC,50,0.079,SCH_AC,skillcraft,0.0,0.5963168600176983,0.4036831399823016,0.0,0.557,0.443
0,SVC,50,0.029,SCH_GPAC,skillcraft,0.0,0.5963168600176983,0.4036831399823016,0.01,0.582,0.408
0,SVC,50,1.047,SCH_DyS,skillcraft,0.0,0.5963168600176983,0.4036831399823016,0.093,0.073,0.834
0,SVC,50,0.807,SCH_CC,skillcraft,0.0,0.5963168600176983,0.4036831399823016,0.0,1.0,0.0
0,SVC,50,0.009,SCH_MS,skillcraft,0.0,0.5963168600176983,0.4036831399823016,0.0,0.592,0.408
0,SVC,50,0.089,SCH_EM,skillcraft,0.0,0.5963168600176983,0.4036831399823016,0.0,0.552,0.448
0,SVC,50,0.707,DySyn,skillcraft,0.0,0.6962234459576129,0.3037765540423872,0.336,0.343,0.322
0,SVC,50,1.262,DyS,skillcraft,0.0,0.6962234459576129,0.3037765540423872,0.216,0.065,0.719
0,SVC,50,1.334,DySyn+aMoSS,skillcraft,0.0,0.6962234459576129,0.3037765540423872,0.019,0.029,0.952
0,SVC,50,1.146,SCH_AC,skillcraft,0.0,0.6962234459576129,0.3037765540423872,0.0,0.123,0.877
0,SVC,50,0.102,SCH_GPAC,skillcraft,0.0,0.6962234459576129,0.3037765540423872,0.04,0.645,0.315
0,SVC,50,1.246,SCH_DyS,skillcraft,0.0,0.6962234459576129,0.3037765540423872,0.093,0.073,0.834
0,SVC,50,0.608,SCH_CC,skillcraft,0.0,0.6962234459576129,0.3037765540423872,0.0,1.0,0.0
0,SVC,50,0.182,SCH_MS,skillcraft,0.0,0.6962234459576129,0.3037765540423872,0.0,0.605,0.395
0,SVC,50,0.038,SCH_EM,skillcraft,0.0,0.6962234459576129,0.3037765540423872,0.0,0.677,0.323
0,SVC,50,0.662,DySyn,skillcraft,0.0,0.5321593857884142,0.46784061421158585,0.331,0.324,0.345
0,SVC,50,0.934,DyS,skillcraft,0.0,0.5321593857884142,0.46784061421158585,0.216,0.065,0.719
