,scorer,Test_size,abs_error,quantifier,dataset,actual_c.1,actual_c.2,actual_c.3,pred_c.1,pred_c.2,pred_c.3
0,XGBClassifier,50,0.106,DySyn,skillcraft,0.0,0.4860663131186773,0.5139336868813227,0.01,0.529,0.461
0,XGBClassifier,50,0.068,DyS,skillcraft,0.0,0.4860663131186773,0.5139336868813227,0.0,0.52,0.48
0,XGBClassifier,50,0.078,DySyn+aMoSS,skillcraft,0.0,0.4860663131186773,0.5139336868813227,0.01,0.515,0.475
0,XGBClassifier,50,0.318,SCH_AC,skillcraft,0.0,0.4860663131186773,0.5139336868813227,0.038,0.607,0.355
0,XGBClassifier,50,0.164,SCH_GPAC,skillcraft,0.0,0.4860663131186773,0.5139336868813227,0.045,0.523,0.432
0,XGBClassifier,50,0.826,SCH_DyS,skillcraft,0.0,0.4860663131186773,0.5139336868813227,0.093,0.073,0.834
0,XGBClassifier,50,1.028,SCH_CC,skillcraft,0.0,0.4860663131186773,0.5139336868813227,0.0,1.0,0.0
0,XGBClassifier,50,0.028,SCH_MS,skillcraft,0.0,0.4860663131186773,0.5139336868813227,0.0,0.5,0.5
0,XGBClassifier,50,0.044,SCH_EM,skillcraft,0.0,0.4860663131186773,0.5139336868813227,0.0,0.508,0.492
0,XGBClassifier,50,0.021,DySyn,skillcraft,0.0,0.44522546847117717,0.5547745315288228,0.01,0.444,0.545
0,XGBClassifier,50,0.03,DyS,skillcraft,0.0,0.44522546847117717,0.5547745315288228,0.0,0.46,0.54
0,XGBClassifier,50,0.04,DySyn+aMoSS,skillcraft,0.0,0.44522546847117717,0.5547745315288228,0.01,0.455,0.535
0,XGBClassifier,50,0.371,SCH_AC,skillcraft,0.0,0.44522546847117717,0.5547745315288228,0.072,0.558,0.369
0,XGBClassifier,50,0.304,SCH_GPAC,skillcraft,0.0,0.44522546847117717,0.5547745315288228,0.016,0.293,0.691
0,XGBClassifier,50,0.744,SCH_DyS,skillcraft,0.0,0.44522546847117717,0.5547745315288228,0.093,0.073,0.834
0,XGBClassifier,50,1.11,SCH_CC,skillcraft,0.0,0.44522546847117717,0.5547745315288228,0.0,1.0,0.0
0,XGBClassifier,50,0.11,SCH_MS,skillcraft,0.0,0.44522546847117717,0.5547745315288228,0.0,0.5,0.5
0,XGBClassifier,50,0.428,SCH_EM,skillcraft,0.0,0.44522546847117717,0.5547745315288228,0.0,0.231,0.769
0,XGBClassifier,50,0.034,DySyn,skillcraft,0.0,0.6153574364307748,0.38464256356922527,0.01,0.622,0.367
0,XGBClassifier,50,0.089,DyS,skillcraft,0.0,0.6153574364307748,0.38464256356922527,0.0,0.66,0.34
0,XGBClassifier,50,0.095,DySyn+aMoSS,skillcraft,0.0,0.6153574364307748,0.38464256356922527,0.01,0.653,0.337
0,XGBClassifier,50,0.242,SCH_AC,skillcraft,0.0,0.6153574364307748,0.38464256356922527,0.121,0.615,0.264
0,XGBClassifier,50,0.155,SCH_GPAC,skillcraft,0.0,0.6153574364307748,0.38464256356922527,0.048,0.645,0.307
0,XGBClassifier,50,1.085,SCH_DyS,skillcraft,0.0,0.6153574364307748,0.38464256356922527,0.093,0.073,0.834
