,scorer,Test_size,abs_error,quantifier,dataset,actual_c.0,actual_c.1,actual_c.2,actual_c.3,pred_c.0,pred_c.1,pred_c.2,pred_c.3
0,RandomForestClassifier,50,0.202,DySyn,video_game_sales,0.0,0.41380788070067803,0.3752449525934145,0.21094716670590735,0.012,0.369,0.464,0.155
0,RandomForestClassifier,50,0.24,DyS,video_game_sales,0.0,0.41380788070067803,0.3752449525934145,0.21094716670590735,0.01,0.364,0.485,0.141
0,RandomForestClassifier,50,0.44,DySyn+aMoSS,video_game_sales,0.0,0.41380788070067803,0.3752449525934145,0.21094716670590735,0.012,0.286,0.583,0.119
0,RandomForestClassifier,50,1.118,SCH_AC,video_game_sales,0.0,0.41380788070067803,0.3752449525934145,0.21094716670590735,0.0,0.0,0.934,0.066
0,RandomForestClassifier,50,0.156,SCH_GPAC,video_game_sales,0.0,0.41380788070067803,0.3752449525934145,0.21094716670590735,0.001,0.392,0.452,0.155
0,RandomForestClassifier,50,0.448,SCH_DyS,video_game_sales,0.0,0.41380788070067803,0.3752449525934145,0.21094716670590735,0.0,0.401,0.599,0.0
0,RandomForestClassifier,50,0.972,SCH_CC,video_game_sales,0.0,0.41380788070067803,0.3752449525934145,0.21094716670590735,0.0,0.9,0.04,0.06
0,RandomForestClassifier,50,0.095,SCH_MS,video_game_sales,0.0,0.41380788070067803,0.3752449525934145,0.21094716670590735,0.0,0.42,0.416,0.163
0,RandomForestClassifier,50,0.168,SCH_EM,video_game_sales,0.0,0.41380788070067803,0.3752449525934145,0.21094716670590735,0.0,0.39,0.459,0.151
0,RandomForestClassifier,50,0.48,DySyn,video_game_sales,0.0,0.2871955380763354,0.3069188188383175,0.405885643085347,0.012,0.195,0.159,0.634
0,RandomForestClassifier,50,0.227,DyS,video_game_sales,0.0,0.2871955380763354,0.3069188188383175,0.405885643085347,0.01,0.206,0.275,0.51
0,RandomForestClassifier,50,0.119,DySyn+aMoSS,video_game_sales,0.0,0.2871955380763354,0.3069188188383175,0.405885643085347,0.01,0.337,0.279,0.375
0,RandomForestClassifier,50,0.724,SCH_AC,video_game_sales,0.0,0.2871955380763354,0.3069188188383175,0.405885643085347,0.0,0.0,0.669,0.331
0,RandomForestClassifier,50,0.239,SCH_GPAC,video_game_sales,0.0,0.2871955380763354,0.3069188188383175,0.405885643085347,0.0,0.198,0.276,0.525
0,RandomForestClassifier,50,0.596,SCH_DyS,video_game_sales,0.0,0.2871955380763354,0.3069188188383175,0.405885643085347,0.0,0.345,0.547,0.108
0,RandomForestClassifier,50,1.026,SCH_CC,video_game_sales,0.0,0.2871955380763354,0.3069188188383175,0.405885643085347,0.0,0.8,0.02,0.18
