,scorer,Test_size,abs_error,quantifier,dataset,actual_c.0,actual_c.1,actual_c.2,actual_c.3,pred_c.0,pred_c.1,pred_c.2,pred_c.3
0,SVC,50,0.965,DySyn,video_game_sales,0.0,0.44124361291650804,0.4562754036710766,0.10248098341241528,0.212,0.203,0.212,0.373
0,SVC,50,0.626,DyS,video_game_sales,0.0,0.44124361291650804,0.4562754036710766,0.10248098341241528,0.312,0.312,0.312,0.062
0,SVC,50,0.795,DySyn+aMoSS,video_game_sales,0.0,0.44124361291650804,0.4562754036710766,0.10248098341241528,0.25,0.25,0.25,0.25
0,SVC,50,0.882,SCH_AC,video_game_sales,0.0,0.44124361291650804,0.4562754036710766,0.10248098341241528,0.034,0.0,0.756,0.21
0,SVC,50,0.025,SCH_GPAC,video_game_sales,0.0,0.44124361291650804,0.4562754036710766,0.10248098341241528,0.0,0.454,0.445,0.102
0,SVC,50,0.217,SCH_DyS,video_game_sales,0.0,0.44124361291650804,0.4562754036710766,0.10248098341241528,0.0,0.435,0.565,0.0
0,SVC,50,0.958,SCH_CC,video_game_sales,0.0,0.44124361291650804,0.4562754036710766,0.10248098341241528,0.0,0.92,0.02,0.06
0,SVC,50,0.391,SCH_MS,video_game_sales,0.0,0.44124361291650804,0.4562754036710766,0.10248098341241528,0.0,0.245,0.572,0.182
0,SVC,50,0.024,SCH_EM,video_game_sales,0.0,0.44124361291650804,0.4562754036710766,0.10248098341241528,0.0,0.453,0.445,0.102
0,SVC,50,0.725,DySyn,video_game_sales,0.0,0.2494794540816921,0.6094294423703318,0.14109110354797613,0.253,0.253,0.247,0.247
0,SVC,50,0.721,DyS,video_game_sales,0.0,0.2494794540816921,0.6094294423703318,0.14109110354797613,0.305,0.305,0.305,0.085
0,SVC,50,0.717,DySyn+aMoSS,video_game_sales,0.0,0.2494794540816921,0.6094294423703318,0.14109110354797613,0.251,0.254,0.251,0.244
0,SVC,50,0.499,SCH_AC,video_game_sales,0.0,0.2494794540816921,0.6094294423703318,0.14109110354797613,0.013,0.0,0.707,0.28
0,SVC,50,0.149,SCH_GPAC,video_game_sales,0.0,0.2494794540816921,0.6094294423703318,0.14109110354797613,0.0,0.175,0.668,0.157
0,SVC,50,0.282,SCH_DyS,video_game_sales,0.0,0.2494794540816921,0.6094294423703318,0.14109110354797613,0.0,0.329,0.671,0.0
0,SVC,50,1.301,SCH_CC,video_game_sales,0.0,0.2494794540816921,0.6094294423703318,0.14109110354797613,0.0,0.9,0.0,0.1
0,SVC,50,0.536,SCH_MS,video_game_sales,0.0,0.2494794540816921,0.6094294423703318,0.14109110354797613,0.0,0.0,0.591,0.409
0,SVC,50,0.147,SCH_EM,video_game_sales,0.0,0.2494794540816921,0.6094294423703318,0.14109110354797613,0.0,0.176,0.666,0.158
0,SVC,50,0.818,DySyn,video_game_sales,0.0,0.545445122560935,0.4181873783572592,0.03636749908180569,0.261,0.272,0.283,0.185
0,SVC,50,0.704,DyS,video_game_sales,0.0,0.545445122560935,0.4181873783572592,0.03636749908180569,0.306,0.306,0.306,0.083
0,SVC,50,0.917,DySyn+aMoSS,video_game_sales,0.0,0.545445122560935,0.4181873783572592,0.03636749908180569,0.251,0.254,0.251,0.244
0,SVC,50,1.09,SCH_AC,video_game_sales,0.0,0.545445122560935,0.4181873783572592,0.03636749908180569,0.095,0.0,0.765,0.139
0,SVC,50,0.244,SCH_GPAC,video_game_sales,0.0,0.545445122560935,0.4181873783572592,0.03636749908180569,0.003,0.46,0.537,0.0
0,SVC,50,0.178,SCH_DyS,video_game_sales,0.0,0.545445122560935,0.4181873783572592,0.03636749908180569,0.0,0.493,0.507,0.0
0,SVC,50,0.836,SCH_CC,video_game_sales,0.0,0.545445122560935,0.4181873783572592,0.03636749908180569,0.0,0.9,0.0,0.1
0,SVC,50,0.654,SCH_MS,video_game_sales,0.0,0.545445122560935,0.4181873783572592,0.03636749908180569,0.022,0.219,0.597,0.163
0,SVC,50,0.236,SCH_EM,video_game_sales,0.0,0.545445122560935,0.4181873783572592,0.03636749908180569,0.0,0.464,0.536,0.0
0,SVC,50,0.688,DySyn,video_game_sales,0.0,0.2320951684463647,0.07800802936365676,0.6898968021899784,0.211,0.22,0.211,0.358
0,SVC,50,1.006,DyS,video_game_sales,0.0,0.2320951684463647,0.07800802936365676,0.6898968021899784,0.271,0.271,0.271,0.187
0,SVC,50,0.899,DySyn+aMoSS,video_game_sales,0.0,0.2320951684463647,0.07800802936365676,0.6898968021899784,0.253,0.253,0.253,0.24
0,SVC,50,0.898,SCH_AC,video_game_sales,0.0,0.2320951684463647,0.07800802936365676,0.6898968021899784,0.0,0.0,0.527,0.473
0,SVC,50,0.15,SCH_GPAC,video_game_sales,0.0,0.2320951684463647,0.07800802936365676,0.6898968021899784,-0.0,0.223,0.012,0.765
0,SVC,50,0.884,SCH_DyS,video_game_sales,0.0,0.2320951684463647,0.07800802936365676,0.6898968021899784,0.0,0.379,0.373,0.248
0,SVC,50,0.976,SCH_CC,video_game_sales,0.0,0.2320951684463647,0.07800802936365676,0.6898968021899784,0.0,0.72,0.06,0.22
0,SVC,50,0.996,SCH_MS,video_game_sales,0.0,0.2320951684463647,0.07800802936365676,0.6898968021899784,0.0,0.0,0.576,0.424
0,SVC,50,0.14,SCH_EM,video_game_sales,0.0,0.2320951684463647,0.07800802936365676,0.6898968021899784,0.0,0.22,0.02,0.76
0,SVC,50,0.636,DySyn,video_game_sales,0.0,0.4182674617062193,0.34846673937341466,0.23326579892036609,0.318,0.312,0.306,0.064
0,SVC,50,0.653,DyS,video_game_sales,0.0,0.4182674617062193,0.34846673937341466,0.23326579892036609,0.327,0.327,0.327,0.02
0,SVC,50,0.52,DySyn+aMoSS,video_game_sales,0.0,0.4182674617062193,0.34846673937341466,0.23326579892036609,0.253,0.253,0.253,0.24
0,SVC,50,0.837,SCH_AC,video_game_sales,0.0,0.4182674617062193,0.34846673937341466,0.23326579892036609,0.013,0.0,0.707,0.28
0,SVC,50,0.15,SCH_GPAC,video_game_sales,0.0,0.4182674617062193,0.34846673937341466,0.23326579892036609,0.002,0.479,0.273,0.245
0,SVC,50,0.467,SCH_DyS,video_game_sales,0.0,0.4182674617062193,0.34846673937341466,0.23326579892036609,0.0,0.429,0.571,0.0
0,SVC,50,0.803,SCH_CC,video_game_sales,0.0,0.4182674617062193,0.34846673937341466,0.23326579892036609,0.0,0.82,0.06,0.12
0,SVC,50,0.837,SCH_MS,video_game_sales,0.0,0.4182674617062193,0.34846673937341466,0.23326579892036609,0.0,0.0,0.753,0.247
0,SVC,50,0.147,SCH_EM,video_game_sales,0.0,0.4182674617062193,0.34846673937341466,0.23326579892036609,0.0,0.48,0.275,0.245
0,SVC,50,0.427,DySyn,video_game_sales,0.0,0.29792033103485155,0.23471749220156868,0.4673621767635799,0.214,0.223,0.223,0.341
0,SVC,50,0.61,DyS,video_game_sales,0.0,0.29792033103485155,0.23471749220156868,0.4673621767635799,0.27,0.27,0.27,0.191
0,SVC,50,0.534,DySyn+aMoSS,video_game_sales,0.0,0.29792033103485155,0.23471749220156868,0.4673621767635799,0.251,0.251,0.251,0.248
0,SVC,50,0.811,SCH_AC,video_game_sales,0.0,0.29792033103485155,0.23471749220156868,0.4673621767635799,0.0,0.0,0.64,0.36
0,SVC,50,0.25,SCH_GPAC,video_game_sales,0.0,0.29792033103485155,0.23471749220156868,0.4673621767635799,0.0,0.423,0.158,0.419
0,SVC,50,0.811,SCH_DyS,video_game_sales,0.0,0.29792033103485155,0.23471749220156868,0.4673621767635799,0.0,0.422,0.516,0.062
0,SVC,50,0.964,SCH_CC,video_game_sales,0.0,0.29792033103485155,0.23471749220156868,0.4673621767635799,0.0,0.78,0.0,0.22
0,SVC,50,0.901,SCH_MS,video_game_sales,0.0,0.29792033103485155,0.23471749220156868,0.4673621767635799,0.0,0.0,0.685,0.315
0,SVC,50,0.244,SCH_EM,video_game_sales,0.0,0.29792033103485155,0.23471749220156868,0.4673621767635799,0.0,0.42,0.16,0.42
0,SVC,50,0.813,DySyn,video_game_sales,0.0,0.18364270072161756,0.36092268941401473,0.45543460986436773,0.292,0.298,0.275,0.135
0,SVC,50,0.89,DyS,video_game_sales,0.0,0.18364270072161756,0.36092268941401473,0.45543460986436773,0.314,0.314,0.314,0.057
0,SVC,50,0.656,DySyn+aMoSS,video_game_sales,0.0,0.18364270072161756,0.36092268941401473,0.45543460986436773,0.256,0.256,0.256,0.233
0,SVC,50,0.418,SCH_AC,video_game_sales,0.0,0.18364270072161756,0.36092268941401473,0.45543460986436773,0.0,0.0,0.57,0.43
0,SVC,50,0.268,SCH_GPAC,video_game_sales,0.0,0.18364270072161756,0.36092268941401473,0.45543460986436773,0.0,0.202,0.227,0.571
0,SVC,50,0.877,SCH_DyS,video_game_sales,0.0,0.18364270072161756,0.36092268941401473,0.45543460986436773,0.0,0.4,0.583,0.017
0,SVC,50,1.193,SCH_CC,video_game_sales,0.0,0.18364270072161756,0.36092268941401473,0.45543460986436773,0.0,0.78,0.04,0.18
0,SVC,50,0.44,SCH_MS,video_game_sales,0.0,0.18364270072161756,0.36092268941401473,0.45543460986436773,0.0,0.0,0.581,0.419
0,SVC,50,0.278,SCH_EM,video_game_sales,0.0,0.18364270072161756,0.36092268941401473,0.45543460986436773,0.0,0.202,0.222,0.576
0,SVC,50,1.05,DySyn,video_game_sales,0.0,0.3248034635757123,0.6430583218411364,0.032138214583151255,0.209,0.226,0.217,0.348
0,SVC,50,0.67,DyS,video_game_sales,0.0,0.3248034635757123,0.6430583218411364,0.032138214583151255,0.33,0.33,0.33,0.01
0,SVC,50,0.924,DySyn+aMoSS,video_game_sales,0.0,0.3248034635757123,0.6430583218411364,0.032138214583151255,0.252,0.254,0.252,0.242
