,scorer,Test_size,abs_error,quantifier,dataset,actual_c.0,actual_c.1,actual_c.2,actual_c.3,pred_c.0,pred_c.1,pred_c.2,pred_c.3
0,XGBClassifier,50,0.166,DySyn,video_game_sales,0.0,0.47301218842911835,0.008212916473209311,0.5187748950976724,0.01,0.39,0.04,0.56
0,XGBClassifier,50,0.146,DyS,video_game_sales,0.0,0.47301218842911835,0.008212916473209311,0.5187748950976724,0.0,0.4,0.02,0.58
0,XGBClassifier,50,0.162,DySyn+aMoSS,video_game_sales,0.0,0.47301218842911835,0.008212916473209311,0.5187748950976724,0.01,0.392,0.029,0.569
0,XGBClassifier,50,0.314,SCH_AC,video_game_sales,0.0,0.47301218842911835,0.008212916473209311,0.5187748950976724,0.0,0.63,0.0,0.37
0,XGBClassifier,50,0.145,SCH_GPAC,video_game_sales,0.0,0.47301218842911835,0.008212916473209311,0.5187748950976724,0.001,0.4,0.01,0.588
0,XGBClassifier,50,1.213,SCH_DyS,video_game_sales,0.0,0.47301218842911835,0.008212916473209311,0.5187748950976724,0.0,0.352,0.614,0.033
0,XGBClassifier,50,0.598,SCH_CC,video_game_sales,0.0,0.47301218842911835,0.008212916473209311,0.5187748950976724,0.0,0.76,0.02,0.22
0,XGBClassifier,50,0.58,SCH_MS,video_game_sales,0.0,0.47301218842911835,0.008212916473209311,0.5187748950976724,0.0,0.42,0.298,0.282
0,XGBClassifier,50,0.146,SCH_EM,video_game_sales,0.0,0.47301218842911835,0.008212916473209311,0.5187748950976724,0.0,0.4,0.02,0.58
0,XGBClassifier,50,0.086,DySyn,video_game_sales,0.0,0.321587108105026,0.17534236165089387,0.5030705302440801,0.01,0.35,0.18,0.46
0,XGBClassifier,50,0.117,DyS,video_game_sales,0.0,0.321587108105026,0.17534236165089387,0.5030705302440801,0.0,0.38,0.16,0.46
0,XGBClassifier,50,0.122,DySyn+aMoSS,video_game_sales,0.0,0.321587108105026,0.17534236165089387,0.5030705302440801,0.01,0.373,0.167,0.451
0,XGBClassifier,50,0.741,SCH_AC,video_game_sales,0.0,0.321587108105026,0.17534236165089387,0.5030705302440801,0.0,0.692,0.0,0.308
0,XGBClassifier,50,0.121,SCH_GPAC,video_game_sales,0.0,0.321587108105026,0.17534236165089387,0.5030705302440801,0.005,0.377,0.152,0.466
