,scorer,Test_size,abs_error,quantifier,dataset,actual_c.1,actual_c.2,actual_c.3,actual_c.4,pred_c.1,pred_c.2,pred_c.3,pred_c.4
0,RandomForestClassifier,50,0.234,DySyn,wine,0.0,0.48118042257561155,0.23397019840940636,0.2848493790149821,0.008,0.508,0.117,0.367
0,RandomForestClassifier,50,0.11,DyS,wine,0.0,0.48118042257561155,0.23397019840940636,0.2848493790149821,0.0,0.48,0.18,0.34
0,RandomForestClassifier,50,0.1,DySyn+aMoSS,wine,0.0,0.48118042257561155,0.23397019840940636,0.2848493790149821,0.01,0.49,0.184,0.316
0,RandomForestClassifier,50,1.43,SCH_AC,wine,0.0,0.48118042257561155,0.23397019840940636,0.2848493790149821,0.0,0.0,0.0,1.0
0,RandomForestClassifier,50,0.172,SCH_GPAC,wine,0.0,0.48118042257561155,0.23397019840940636,0.2848493790149821,0.0,0.503,0.148,0.349
0,RandomForestClassifier,50,0.448,SCH_DyS,wine,0.0,0.48118042257561155,0.23397019840940636,0.2848493790149821,0.0,0.63,0.01,0.36
0,RandomForestClassifier,50,1.332,SCH_CC,wine,0.0,0.48118042257561155,0.23397019840940636,0.2848493790149821,0.0,0.1,0.9,0.0
0,RandomForestClassifier,50,0.475,SCH_MS,wine,0.0,0.48118042257561155,0.23397019840940636,0.2848493790149821,0.017,0.454,0.454,0.074
0,RandomForestClassifier,50,0.206,SCH_EM,wine,0.0,0.48118042257561155,0.23397019840940636,0.2848493790149821,0.0,0.51,0.131,0.359
0,RandomForestClassifier,50,0.146,DySyn,wine,0.0,0.2883542510692382,0.3525701264414499,0.3590756224893119,0.008,0.229,0.339,0.424
0,RandomForestClassifier,50,0.144,DyS,wine,0.0,0.2883542510692382,0.3525701264414499,0.3590756224893119,0.0,0.216,0.412,0.371
0,RandomForestClassifier,50,0.077,DySyn+aMoSS,wine,0.0,0.2883542510692382,0.3525701264414499,0.3590756224893119,0.011,0.316,0.326,0.347
0,RandomForestClassifier,50,1.282,SCH_AC,wine,0.0,0.2883542510692382,0.3525701264414499,0.3590756224893119,0.0,0.0,0.0,1.0
