,scorer,Test_size,abs_error,quantifier,dataset,actual_c.1,actual_c.2,actual_c.3,actual_c.4,pred_c.1,pred_c.2,pred_c.3,pred_c.4
0,SVC,50,0.729,DySyn,wine,0.0,0.5215124330357157,0.3531806775557198,0.12530688940856466,0.257,0.262,0.248,0.233
0,SVC,50,0.749,DyS,wine,0.0,0.5215124330357157,0.3531806775557198,0.12530688940856466,0.25,0.25,0.25,0.25
0,SVC,50,0.869,DySyn+aMoSS,wine,0.0,0.5215124330357157,0.3531806775557198,0.12530688940856466,0.28,0.158,0.282,0.28
0,SVC,50,0.706,SCH_AC,wine,0.0,0.5215124330357157,0.3531806775557198,0.12530688940856466,0.0,0.87,0.0,0.13
0,SVC,50,0.064,SCH_GPAC,wine,0.0,0.5215124330357157,0.3531806775557198,0.12530688940856466,0.002,0.527,0.321,0.15
0,SVC,50,0.701,SCH_DyS,wine,0.0,0.5215124330357157,0.3531806775557198,0.12530688940856466,0.0,0.818,0.002,0.179
0,SVC,50,1.174,SCH_CC,wine,0.0,0.5215124330357157,0.3531806775557198,0.12530688940856466,0.0,0.06,0.94,0.0
0,SVC,50,2.0,SCH_MS,wine,0.0,0.5215124330357157,0.3531806775557198,0.12530688940856466,1.0,0.0,0.0,0.0
0,SVC,50,0.064,SCH_EM,wine,0.0,0.5215124330357157,0.3531806775557198,0.12530688940856466,0.0,0.527,0.321,0.152
0,SVC,50,0.852,DySyn,wine,0.0,0.29183031676580423,0.06884085265731248,0.6393288305768833,0.258,0.258,0.237,0.247
0,SVC,50,0.862,DyS,wine,0.0,0.29183031676580423,0.06884085265731248,0.6393288305768833,0.25,0.25,0.25,0.25
0,SVC,50,0.854,DySyn+aMoSS,wine,0.0,0.29183031676580423,0.06884085265731248,0.6393288305768833,0.252,0.252,0.244,0.252
0,SVC,50,0.617,SCH_AC,wine,0.0,0.29183031676580423,0.06884085265731248,0.6393288305768833,0.0,0.052,0.0,0.948
0,SVC,50,0.214,SCH_GPAC,wine,0.0,0.29183031676580423,0.06884085265731248,0.6393288305768833,0.0,0.207,0.047,0.747
0,SVC,50,0.893,SCH_DyS,wine,0.0,0.29183031676580423,0.06884085265731248,0.6393288305768833,0.0,0.063,0.515,0.421
0,SVC,50,1.862,SCH_CC,wine,0.0,0.29183031676580423,0.06884085265731248,0.6393288305768833,0.0,0.0,1.0,0.0
0,SVC,50,0.584,SCH_MS,wine,0.0,0.29183031676580423,0.06884085265731248,0.6393288305768833,0.0,0.0,0.211,0.789
0,SVC,50,0.281,SCH_EM,wine,0.0,0.29183031676580423,0.06884085265731248,0.6393288305768833,0.0,0.22,0.0,0.78
0,SVC,50,0.903,DySyn,wine,0.0,0.030963374427779255,0.5723294723165233,0.39670715325569755,0.231,0.251,0.261,0.256
0,SVC,50,0.938,DyS,wine,0.0,0.030963374427779255,0.5723294723165233,0.39670715325569755,0.25,0.25,0.25,0.25
