,scorer,Test_size,abs_error,quantifier,dataset,actual_c.0,actual_c.1,actual_c.2,actual_c.3,actual_c.4,pred_c.0,pred_c.1,pred_c.2,pred_c.3,pred_c.4
0,RandomForestClassifier,50,0.85,DySyn,yeast,0.0,0.3039481409446414,0.30625035086741925,0.20810061143467015,0.18170089675326911,0.0,0.074,0.111,0.63,0.185
0,RandomForestClassifier,50,0.556,DyS,yeast,0.0,0.3039481409446414,0.30625035086741925,0.20810061143467015,0.18170089675326911,0.0,0.026,0.41,0.372,0.192
0,RandomForestClassifier,50,0.751,DySyn+aMoSS,yeast,0.0,0.3039481409446414,0.30625035086741925,0.20810061143467015,0.18170089675326911,0.363,0.317,0.282,0.027,0.012
0,RandomForestClassifier,50,0.661,SCH_AC,yeast,0.0,0.3039481409446414,0.30625035086741925,0.20810061143467015,0.18170089675326911,0.0,0.026,0.609,0.236,0.129
0,RandomForestClassifier,50,0.542,SCH_GPAC,yeast,0.0,0.3039481409446414,0.30625035086741925,0.20810061143467015,0.18170089675326911,0.013,0.107,0.485,0.287,0.107
0,RandomForestClassifier,50,0.954,SCH_DyS,yeast,0.0,0.3039481409446414,0.30625035086741925,0.20810061143467015,0.18170089675326911,0.001,0.0,0.603,0.387,0.008
0,RandomForestClassifier,50,0.544,SCH_CC,yeast,0.0,0.3039481409446414,0.30625035086741925,0.20810061143467015,0.18170089675326911,0.24,0.14,0.24,0.24,0.14
0,RandomForestClassifier,50,0.608,SCH_MS,yeast,0.0,0.3039481409446414,0.30625035086741925,0.20810061143467015,0.18170089675326911,0.0,0.0,0.405,0.288,0.307
0,RandomForestClassifier,50,0.858,SCH_EM,yeast,0.0,0.3039481409446414,0.30625035086741925,0.20810061143467015,0.18170089675326911,0.0,0.0,0.523,0.42,0.056
0,RandomForestClassifier,50,0.772,DySyn,yeast,0.0,0.23480768077532216,0.26675296035146656,0.18107583383864098,0.3173635250345703,0.038,0.0,0.115,0.346,0.5
0,RandomForestClassifier,50,0.47,DyS,yeast,0.0,0.23480768077532216,0.26675296035146656,0.18107583383864098,0.3173635250345703,0.0,0.0,0.322,0.287,0.391
0,RandomForestClassifier,50,0.865,DySyn+aMoSS,yeast,0.0,0.23480768077532216,0.26675296035146656,0.18107583383864098,0.3173635250345703,0.328,0.317,0.289,0.024,0.042
