,scorer,Test_size,abs_error,quantifier,dataset,actual_c.0,actual_c.1,actual_c.2,actual_c.3,actual_c.4,pred_c.0,pred_c.1,pred_c.2,pred_c.3,pred_c.4
0,SVC,50,0.149,DySyn,yeast,0.0,0.09838321575764362,0.3043063923459072,0.22975756397225094,0.3675528279241984,0.069,0.072,0.31,0.206,0.343
0,SVC,50,0.678,DyS,yeast,0.0,0.09838321575764362,0.3043063923459072,0.22975756397225094,0.3675528279241984,0.103,0.0,0.086,0.466,0.345
0,SVC,50,0.815,DySyn+aMoSS,yeast,0.0,0.09838321575764362,0.3043063923459072,0.22975756397225094,0.3675528279241984,0.253,0.253,0.253,0.0,0.241
0,SVC,50,0.759,SCH_AC,yeast,0.0,0.09838321575764362,0.3043063923459072,0.22975756397225094,0.3675528279241984,0.0,0.0,0.023,0.404,0.573
0,SVC,50,0.313,SCH_GPAC,yeast,0.0,0.09838321575764362,0.3043063923459072,0.22975756397225094,0.3675528279241984,0.0,0.135,0.148,0.307,0.41
0,SVC,50,0.805,SCH_DyS,yeast,0.0,0.09838321575764362,0.3043063923459072,0.22975756397225094,0.3675528279241984,0.031,0.0,0.0,0.482,0.487
0,SVC,50,0.464,SCH_CC,yeast,0.0,0.09838321575764362,0.3043063923459072,0.22975756397225094,0.3675528279241984,0.2,0.1,0.14,0.26,0.3
0,SVC,50,0.237,SCH_MS,yeast,0.0,0.09838321575764362,0.3043063923459072,0.22975756397225094,0.3675528279241984,0.0,0.0,0.284,0.332,0.384
0,SVC,50,0.735,SCH_EM,yeast,0.0,0.09838321575764362,0.3043063923459072,0.22975756397225094,0.3675528279241984,0.0,0.035,0.0,0.44,0.525
0,SVC,50,0.754,DySyn,yeast,0.0,0.3431928030675672,0.49981243728328206,0.056601866493336137,0.10039289315581462,0.044,0.254,0.254,0.39,0.059
0,SVC,50,0.557,DyS,yeast,0.0,0.3431928030675672,0.49981243728328206,0.056601866493336137,0.10039289315581462,0.027,0.081,0.676,0.041,0.176
0,SVC,50,0.787,DySyn+aMoSS,yeast,0.0,0.3431928030675672,0.49981243728328206,0.056601866493336137,0.10039289315581462,0.281,0.281,0.225,0.0,0.213
0,SVC,50,0.663,SCH_AC,yeast,0.0,0.3431928030675672,0.49981243728328206,0.056601866493336137,0.10039289315581462,0.203,0.133,0.379,0.056,0.229
0,SVC,50,0.162,SCH_GPAC,yeast,0.0,0.3431928030675672,0.49981243728328206,0.056601866493336137,0.10039289315581462,0.0,0.267,0.532,0.052,0.149
0,SVC,50,0.877,SCH_DyS,yeast,0.0,0.3431928030675672,0.49981243728328206,0.056601866493336137,0.10039289315581462,0.002,0.0,0.936,0.035,0.026
0,SVC,50,0.886,SCH_CC,yeast,0.0,0.3431928030675672,0.49981243728328206,0.056601866493336137,0.10039289315581462,0.34,0.1,0.3,0.06,0.2
0,SVC,50,0.686,SCH_MS,yeast,0.0,0.3431928030675672,0.49981243728328206,0.056601866493336137,0.10039289315581462,0.0,0.0,0.635,0.099,0.266
0,SVC,50,0.405,SCH_EM,yeast,0.0,0.3431928030675672,0.49981243728328206,0.056601866493336137,0.10039289315581462,0.0,0.189,0.702,0.023,0.085
0,SVC,50,0.54,DySyn,yeast,0.0,0.39493007841127953,0.4292145777852092,0.1041258543234988,0.07172948948001232,0.005,0.44,0.159,0.275,0.121
0,SVC,50,0.577,DyS,yeast,0.0,0.39493007841127953,0.4292145777852092,0.1041258543234988,0.07172948948001232,0.266,0.156,0.422,0.062,0.094
0,SVC,50,0.804,DySyn+aMoSS,yeast,0.0,0.39493007841127953,0.4292145777852092,0.1041258543234988,0.07172948948001232,0.265,0.265,0.262,0.0,0.209
0,SVC,50,0.95,SCH_AC,yeast,0.0,0.39493007841127953,0.4292145777852092,0.1041258543234988,0.07172948948001232,0.475,0.247,0.229,0.026,0.023
0,SVC,50,0.321,SCH_GPAC,yeast,0.0,0.39493007841127953,0.4292145777852092,0.1041258543234988,0.07172948948001232,0.0,0.556,0.381,0.064,0.0
0,SVC,50,1.102,SCH_DyS,yeast,0.0,0.39493007841127953,0.4292145777852092,0.1041258543234988,0.07172948948001232,0.551,0.055,0.394,0.0,0.0
0,SVC,50,0.8,SCH_CC,yeast,0.0,0.39493007841127953,0.4292145777852092,0.1041258543234988,0.07172948948001232,0.4,0.26,0.24,0.04,0.06
0,SVC,50,0.312,SCH_MS,yeast,0.0,0.39493007841127953,0.4292145777852092,0.1041258543234988,0.07172948948001232,0.103,0.448,0.35,0.099,0.0
0,SVC,50,0.382,SCH_EM,yeast,0.0,0.39493007841127953,0.4292145777852092,0.1041258543234988,0.07172948948001232,0.0,0.586,0.414,0.0,0.0
0,SVC,50,0.839,DySyn,yeast,0.0,0.107217879900456,0.3831419862652535,0.332683756374713,0.17695637745957754,0.241,0.062,0.009,0.411,0.277
0,SVC,50,0.481,DyS,yeast,0.0,0.107217879900456,0.3831419862652535,0.332683756374713,0.17695637745957754,0.042,0.021,0.229,0.479,0.229
0,SVC,50,0.935,DySyn+aMoSS,yeast,0.0,0.107217879900456,0.3831419862652535,0.332683756374713,0.17695637745957754,0.265,0.265,0.249,0.0,0.222
0,SVC,50,0.58,SCH_AC,yeast,0.0,0.107217879900456,0.3831419862652535,0.332683756374713,0.17695637745957754,0.0,0.0,0.601,0.15,0.249
0,SVC,50,0.202,SCH_GPAC,yeast,0.0,0.107217879900456,0.3831419862652535,0.332683756374713,0.17695637745957754,0.015,0.15,0.427,0.289,0.12
0,SVC,50,1.05,SCH_DyS,yeast,0.0,0.107217879900456,0.3831419862652535,0.332683756374713,0.17695637745957754,0.001,0.0,0.088,0.856,0.054
0,SVC,50,0.68,SCH_CC,yeast,0.0,0.107217879900456,0.3831419862652535,0.332683756374713,0.17695637745957754,0.34,0.1,0.2,0.24,0.12
0,SVC,50,0.244,SCH_MS,yeast,0.0,0.107217879900456,0.3831419862652535,0.332683756374713,0.17695637745957754,0.0,0.0,0.369,0.404,0.228
0,SVC,50,0.429,SCH_EM,yeast,0.0,0.107217879900456,0.3831419862652535,0.332683756374713,0.17695637745957754,0.0,0.0,0.391,0.54,0.07
0,SVC,50,0.663,DySyn,yeast,0.0,0.290681005721811,0.20318033737297428,0.2536277795894895,0.2525108773157253,0.085,0.427,0.035,0.09,0.362
0,SVC,50,0.598,DyS,yeast,0.0,0.290681005721811,0.20318033737297428,0.2536277795894895,0.2525108773157253,0.299,0.209,0.164,0.209,0.119
0,SVC,50,0.638,DySyn+aMoSS,yeast,0.0,0.290681005721811,0.20318033737297428,0.2536277795894895,0.2525108773157253,0.261,0.261,0.261,0.0,0.217
0,SVC,50,0.729,SCH_AC,yeast,0.0,0.290681005721811,0.20318033737297428,0.2536277795894895,0.2525108773157253,0.152,0.483,0.0,0.274,0.091
0,SVC,50,0.541,SCH_GPAC,yeast,0.0,0.290681005721811,0.20318033737297428,0.2536277795894895,0.2525108773157253,0.0,0.361,0.101,0.454,0.084
0,SVC,50,1.359,SCH_DyS,yeast,0.0,0.290681005721811,0.20318033737297428,0.2536277795894895,0.2525108773157253,0.002,0.001,0.001,0.931,0.065
0,SVC,50,0.44,SCH_CC,yeast,0.0,0.290681005721811,0.20318033737297428,0.2536277795894895,0.2525108773157253,0.22,0.28,0.12,0.24,0.14
0,SVC,50,0.51,SCH_MS,yeast,0.0,0.290681005721811,0.20318033737297428,0.2536277795894895,0.2525108773157253,0.0,0.19,0.173,0.509,0.129
0,SVC,50,0.674,SCH_EM,yeast,0.0,0.290681005721811,0.20318033737297428,0.2536277795894895,0.2525108773157253,0.0,0.302,0.034,0.58,0.085
0,SVC,50,0.496,DySyn,yeast,0.0,0.23513060664976998,0.21510911140944627,0.3889666797373278,0.16079360220345595,0.068,0.12,0.252,0.256,0.304
0,SVC,50,0.3,DyS,yeast,0.0,0.23513060664976998,0.21510911140944627,0.3889666797373278,0.16079360220345595,0.111,0.178,0.178,0.333,0.2
0,SVC,50,0.779,DySyn+aMoSS,yeast,0.0,0.23513060664976998,0.21510911140944627,0.3889666797373278,0.16079360220345595,0.258,0.258,0.258,0.0,0.227
0,SVC,50,0.184,SCH_AC,yeast,0.0,0.23513060664976998,0.21510911140944627,0.3889666797373278,0.16079360220345595,0.0,0.176,0.182,0.481,0.161
0,SVC,50,0.561,SCH_GPAC,yeast,0.0,0.23513060664976998,0.21510911140944627,0.3889666797373278,0.16079360220345595,0.281,0.145,0.113,0.346,0.116
